Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department
Mandry Ven'iamyna Tret'oho,Moisei Fradkin,(),,,(Male),1934,Prints & Illustrated Books
Dust jacket front (duplicate of folder front) from 2 POEMAS,Antonio Frasconi,(American),(1919),(2013),(Male),1953,Prints & Illustrated Books
Fun City from Fun City,Richard Lindner,(American),(1901),(1978),(Male),1971,Prints & Illustrated Books
Angels from Witebsk,Wojciech Prazmowski,(Polish),(1949),,(Male),1988,Photography
Tailpiece (page 62) from FABLES,Thomas Bewick,(British),(1753),(1828),(Male),1818,Prints & Illustrated Books
Untitled,Spencer Sweeney,(American),(1973),,(Male),2002,Drawings
Variety,Batiste Madalena,(American),(1902),(1988),(Male),1926,Film
Stars and Disasters (Astres et Désastres),Pierre Alechinsky,(Belgian),(1927),,(Male),1969,Prints & Illustrated Books
"U.S. Embassy Building, Tokyo Project (Aerial perspective)",Frank Lloyd Wright,(American),(1867),(1959),(Male),1914,Architecture & Design
"Tuesday, Dec. 18, 1979",On Kawara,(Japanese),(1933),,(Male),1979,Painting & Sculpture
"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Andy Warhol,(American),(1928),(1987),(Male),1968,Architecture & Design
"Pittsburgh, Pennsylvania",Lee Friedlander,(American),(1934),,(Male),1979,Photography
Double page plate (between pages 96 and 97) from UBU ROI,Joan Miró,(Spanish),(1893),(1983),(Male),1966,Prints & Illustrated Books
"Unity Temple, Oak Park, IL",Frank Lloyd Wright,(American),(1867),(1959),(Male),1904,Architecture & Design
PORTRAITS DE CHOPIN,Marc Chagall,(French),(1887),(1985),(Male),1949,Prints & Illustrated Books
The Razorback Bunch (Etching III),Robert Rauschenberg,(American),(1925),(2008),(Male),1981,Prints & Illustrated Books
Identity Transfer from Program One: Aspen Projects,Dennis Oppenheim,(American),(1938),(2011),(Male),1970,Media and Performance Art
Lipstick (Ascending) on Caterpillar Track,Claes Oldenburg,(American),(1929),,(Male),1969,Prints & Illustrated Books
"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Richard Nonas,(American),(1936),,(Male),1972,Prints & Illustrated Books
Bagatelle,Eugène Atget,(French),(1857),(1927),(Male),1923-1925,Photography
The Barbie Doll Drawings #27,Adrian Piper,(American),(1948),,(Female),1967,Drawings
"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1932,Architecture & Design
Plate (page 209) from LES PETITES FLEURS,Émile Bernard,(French),(1868),(1941),(Male),1928,Prints & Illustrated Books
"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,(American),(1931),(1978),(Male),1965,Prints & Illustrated Books
Untitled,Louise Bourgeois,(American),(1911),(2010),(Female),2003,Prints & Illustrated Books
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,(Portuguese),(1933),,(Male),1971-1974,Architecture & Design
Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,(American),(1943),,(Female),1983,Drawings
"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1930,Architecture & Design
Stamp Box,Josef Hoffmann,(Austrian),(1870),(1956),(Male),1946,Architecture & Design
"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,(Swiss),(1943),,(Male),1984,Architecture & Design
Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,(German),(1954),,(Male),2006,Prints & Illustrated Books
"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,(American),(1843),(1908),(Male),c. 1885,Photography
"Apollon Musagete, design for Scenery",Pavel Tchelitchew,(American),(1898),(1957),(Male),1942,Drawings
LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,(French),(1857),(1927),(Male),1913,Photography
Scroll Down and Keep Scrolling,Fiona Banner,(British),(1966),,(Female),2015,Prints & Illustrated Books
"""Untitled""",Felix Gonzalez-Torres,(American),(1957),(1996),(Male),1987,Painting & Sculpture
Plate (page 89) from L'ÉVANGILE,Léo Marchutz,(French),(1903),(1976),(Male),1947-1949,Prints & Illustrated Books
Pleasures and Terrors of Levitation 50,Aaron Siskind,(American),(1903),(1991),(Male),1965,Photography
Tailpiece (page 44) from FABLES,Thomas Bewick,(British),(1753),(1828),(Male),1818,Prints & Illustrated Books
"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,(German),(1909),(1981),(Male),1961,Prints & Illustrated Books
RUES LANNEAU ET DES CARMES,Eugène Atget,(French),(1857),(1927),(Male),1925,Photography
Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(1871),(1958),(Male),1916-1932,Prints & Illustrated Books
"Landscape Triptych No. 1, State IV/IV",Fred Williams,(Australian),(1927),(1982),(Male),1962,Prints & Illustrated Books
"Mr. Bennett, Vermont",Paul Strand,(American),(1890),(1976),(Male),1944,Photography
Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,(French),(1883),(1956),(Female),1930,Prints & Illustrated Books
C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,(Spanish),(1927),,(Male),1991,Prints & Illustrated Books
"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,(German),(1945),(2014),(Male),1991-1994,Photography
Fortune,Kiki Smith,(American),(1954),,(Female),2008,Prints & Illustrated Books
"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,(American),(1947),,(Male),1975,Photography
Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,(French),(1864),(1901),(Male),1893,Prints & Illustrated Books
Untitled,Willem de Kooning,(American),(1904),(1997),(Male),1966,Drawings
"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,(American),(1948),,(Male),1968-1969,Prints & Illustrated Books
Are You Rea #17,Robert Heinecken,(American),(1931),(2006),(Male),1964-1968,Photography
Headpiece (page 93) from PASSION,Georges Rouault,(French),(1871),(1958),(Male),1928-1939,Prints & Illustrated Books
Bar Tools,Studio Opi,(Italian),(1955),,(),1969,Architecture & Design
Multi-use Rocker Prototype,Frederick Kiesler,(American),(1890),(1965),(Male),1942,Architecture & Design
Cascade Mountains,Lee Friedlander,(American),(1934),,(Male),1980,Photography
Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,(American),(1915),(2004),(Male),1955,Architecture & Design
"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1930,Architecture & Design
[History of Art Chart],George Maciunas,(American),(1931),(1978),(Male),c. 1955-1960,Prints & Illustrated Books
Bagatelle,Eugène Atget,(French),(1857),(1927),(Male),1922,Photography
MR1002 Flower stand (Plan and detail sections),Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),c.1934,Architecture & Design
FONTAINEBLEAU. COUR CHEVAL BLANC,Eugène Atget,(French),(1857),(1927),(Male),1903,Photography
The Toe Tactic,Emily Hubley,(American),(1958),,(Female),2008,Film
"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,(American),(1934),(2016),(Male),1962,Prints & Illustrated Books
"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Frank Lloyd Wright,(American),(1867),(1959),(Male),1944,Architecture & Design
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,(American),(1877),(1960),(Male),1914-1918,Architecture & Design
Untitled,Carey Maxon,(American),(1978),,(Female),(2003),Drawings
Untitled from Program,Jorge Pardo,(American),(1963),,(Male),2012,Prints & Illustrated Books
Plate (folio 8) from LE STANZE OSCURE,Cesare Peverelli,(Italian),(1922),(2000),(Male),1965,Prints & Illustrated Books
Photographic Views and Studies of Canadian Scenery,Alexander Henderson,(Canadian),(1831),(1913),(Male),1865,Photography
"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Stephen Shore,(American),(1947),,(Male),1976,Photography
"Meudon, ancien château",Eugène Atget,(French),(1857),(1927),(Male),1902,Photography
Bright Leaves,Ross McElwee,(),,,(Male),2003,Film
A Mounatin Called Desire (Una Montaña llamada deseo),Sandra Vásquez de la Horra,(Chilean),(1967),,(Female),2010,Drawings
Plate XLVII from the Barcelona Series,Joan Miró,(Spanish),(1893),(1983),(Male),1944,Prints & Illustrated Books
Canto VI from 18 Cantos,Barnett Newman,(American),(1905),(1970),(Male),1963,Prints & Illustrated Books
Chagres River from the Fort,Eadweard J. Muybridge,(American),(1830),(1904),(Male),1875,Photography
"Men of Air, New York",Robert Frank,(American),(1924),,(Male),1948,Photography
William Eggleston and Friend,Lee Friedlander,(American),(1934),,(Male),1990,Photography
Seated Nude,Fernand Léger,(French),(1881),(1955),(Male),1913,Drawings
"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Bradford Washburn,(American),(1910),(2007),(Male),1958,Photography
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1921,Architecture & Design
Ouray from Copper Series,Frank Stella,(American),(1936),,(Male),1970,Prints & Illustrated Books
Bodies of Women (Corps de dames),Jean Dubuffet,(French),(1901),(1985),(Male),1950,Prints & Illustrated Books
Ear,Louise Bourgeois,(American),(1911),(2010),(Female),2004,Prints & Illustrated Books
Pablo Picasso,Man Ray (Emmanuel Radnitzky),(American),(1890),(1976),(Male),1926,Photography
Plate (folio 43) from ADVENTURES IN KU-TA-BA WA-DO,Gerald Jackson,(American),(1943),,(Male),1973,Prints & Illustrated Books
RETURN FROM TOIL,John Sloan,(American),(1871),(1951),(Male),1915,Prints & Illustrated Books
Ears,Louise Bourgeois,(American),(1911),(2010),(Female),2003,Prints & Illustrated Books
Blue Jean from AGPA 73: Pan American Graphic Arts (AGPA 73: Artes gráficas panamericanas),Miguel Angel Rojas,(Colombian),(1946),,(Male),1973,Prints & Illustrated Books
J.A.B. AND HIS UMBRELLA,Stephen Scheer,(American),(1954),,(Male),1986,Photography
Tube,Roman Signer,(Swiss),(1938),,(Male),1982,Media and Performance Art
In-text plate (page 78) from LYSISTRATA,František Kupka,(Czech),(1871),(1957),(Male),1908-1911,Prints & Illustrated Books
"German People - German Work Exhibit, Berlin, Germany, Installation of the vitrine for crystal glass. Elevation, plan, and sections.",Lilly Reich,(German),(1885),(1947),(Female),1934,Architecture & Design
Plate (page 44) from PARADISE GARDEN,Sidney Nolan,(Australian),(1917),(1992),(Male),1971,Prints & Illustrated Books
"SALUTATIONS, SENOR!","George Overbury (""Pop"") Hart",(American),(1868),(1933),(Male),(1926),Prints & Illustrated Books
NUMBER 12,Antoni Tàpies,(Spanish),(1923),(2012),(Male),1960,Prints & Illustrated Books
"50,000 Meals Served (50,000 Cubiertos)",José Chávez Morado,(Mexican),(1909),(2002),(Male),1939,Prints & Illustrated Books
In-text plate (page 68) from LE VOYAGE D'URIEN,Maurice Denis,(French),(1870),(1943),(Male),1893,Prints & Illustrated Books
Kaleidoscope #2 (Furnishing fabric),Herbert Bayer,(American),(1900),(1985),(Male),c.1952,Architecture & Design
Nations,Slavs and Tatars,(),(2005),,(),2007,Prints & Illustrated Books
"THE WINE PRESS IN OPEN AIR (plate; volume I, page 147) from LES GÉORGIQUES (GEORGICA)",André Dunoyer de Segonzac,(French),(1884),(1974),(Male),1933-1947,Prints & Illustrated Books
"The Brown Sisters, Marblehead, Massachusetts",Nicholas Nixon,(American),(1947),,(Male),1995,Photography
Linear Still Life,William Scott,(British),(1913),(1989),(Male),1973,Drawings
Blind Man and His Son (Homem cego e seu filho),Candido Portinari,(Brazilian),(1903),(1962),(Male),1939,Prints & Illustrated Books
"Street, Berlin",Ernst Ludwig Kirchner,(German),(1880),(1938),(Male),1913,Painting & Sculpture
The Song of the Shirt,David Wark Griffith,(American),(1874),(1948),(Male),1908,Film
Architecture Panoramas,Jan Dibbets,(Dutch),(1941),,(Male),1971,Photography
Kazimierz Malewicz 1876-1935,Wladyslaw Strzemiński,(Polish),(1893),(1952),(Male),1936,Prints & Illustrated Books
"Ausstellung Galerie St. Stephen Wien, Images Meditatives",Winfred Gaul,(German),(1928),(2003),(Male),1960,Architecture & Design
Hospital Event Label,George Maciunas,(American),(1931),(1978),(Male),1975,Prints & Illustrated Books
"Washington, D.C.",Lee Friedlander,(American),(1934),,(Male),1976,Photography
Deeparture,Mircea Cantor,(Romanian),(1977),,(Male),2005,Media and Performance Art
Programy skolskeho rozhlasu,Augustin Tschinkel,(Czech),(1905),,(Male),1933,Architecture & Design
Plate (folio 19) from KAFKA,Roger Chancel,(French),(1898),(1976),(Male),1957,Prints & Illustrated Books
Lassaw at Kootz Gallery,Elaine Lustig Cohen,(American),(1927),(2016),(Female),1960,Architecture & Design
"Untitled, from Eurana Park, Weatherly, Pennsylvania",Judith Joy Ross,(American),(1946),,(Female),1982,Photography
"View from Hotel Window--Butte, Montana",Robert Frank,(American),(1924),,(Male),1956,Photography
"CUPID SHOOTS THE WOMAN FROM HAMBURG IN THE STOMACH (in-text plate, page 20) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,(American),(1885),(1930),(Male),1910,Prints & Illustrated Books
UNTITLED (SQUARE YELLOW SPIRAL),Paul Thek,(American),(1933),(1988),(Male),1983,Drawings
In-text plate (folio 5) from THE DONKEY AND THE DARLING,Larry Rivers,(American),(1923),(2002),(Male),1968-1977,Prints & Illustrated Books
So What!,Christian Fossier,(French),(1943),(2013),(Male),1969,Prints & Illustrated Books
"Plate 8 (in-text plate, folio 18) from UN SOUPÇON",Michel Guino,(French),(1926),(2013),(Male),1965,Prints & Illustrated Books
Trinket,Arthur B. Davies,(American),(1862),(1928),(Male),1919-1920,Prints & Illustrated Books
"SOBAKÉVITCH AT THE TABLE, plate XXXVI (facing page 130) from LES ÂMES MORTES",Marc Chagall,(French),(1887),(1985),(Male),1923-1948,Prints & Illustrated Books
Untitled (white lines),Lauretta Vinciarelli,(Italian),(1943),(2012),(Female),c.1973,Architecture & Design
"GALATEA PLAYING IN WATER (in-text plate, page 68) from LES ÉGLOGUES",Aristide Maillol,(French),(1861),(1944),(Male),1912-1926,Prints & Illustrated Books
Mrs. Beatrice Baxter Ruyl and Infant,Gertrude Käsebier,(American),(1852),(1934),(Female),1905,Photography
"Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes",Jean (Hans) Arp,(French),(1886),(1966),(Male),1918,Prints & Illustrated Books
Topiary,Louise Bourgeois,(American),(1911),(2010),(Female),1997,Drawings
"Ruins of the Church of Las Monjas, Old Panama",Eadweard J. Muybridge,(American),(1830),(1904),(Male),1875,Photography
FONTAINE MOLIÈRE. RUE RICHELIEU. PAR VISCONTI ET PRADIER,Eugène Atget,(French),(1857),(1927),(Male),1907,Photography
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1926-1946,Architecture & Design
Ileana from Ruminations,Robert Rauschenberg,(American),(1925),(2008),(Male),1999,Prints & Illustrated Books
Luz Seated (to the right),Jean Charlot,(American),(1898),(1979),(Male),1929,Prints & Illustrated Books
"Untitled, from the series Come Sunday",Thomas Roma,(American),(1950),,(Male),1991-1994,Photography
"Black Panther children in a classroom at the Intercommunal Youth Institute, the Black Panther school, Oakland, California",Stephen Shames,(American),(1947),,(Male),1971,Photography
Wear Your Goggles,Pat Keely,(British),,,(Male),1942,Architecture & Design
Ballet poster,André Masson,(French),(1896),(1987),(Male),1933,Architecture & Design
Fingerprint,Robert Watts,(American),(1923),(1988),(Male),1965,Prints & Illustrated Books
El Frente Popular de Madrid Al Frente Popular del Mundo - Homenaje a Las Brigadas Internacionales,J. Briones,(Spanish),,,(),1936-1937,Architecture & Design
Untitled from Woodcuts,Thomas Schütte,(German),(1954),,(Male),2011,Prints & Illustrated Books
"PSALM 122, plate 27 (page 61) from PSAUMES DE DAVID",Marc Chagall,(French),(1887),(1985),(Male),1978-1979,Prints & Illustrated Books
New York I,Aaron Siskind,(American),(1903),(1991),(Male),1951,Photography
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1926,Architecture & Design
Ode à l'Oubli,Louise Bourgeois,(American),(1911),(2010),(Female),2004,Prints & Illustrated Books
Two Figures,Max Weber,(American),(1881),(1961),(Male),1919-1920,Prints & Illustrated Books
Instruction No. 2 from Fluxkit,Benjamin Patterson,(American),(1934),(2016),(Male),1965-1966,Prints & Illustrated Books
Untitled,Unknown,(),,,(),1923-1951,Photography
In-text plate (folio 8) from The Adventures of a Novel in Four Chapters,Bruce Conner,(American),(1933),(2008),(Male),1991,Prints & Illustrated Books
Headpiece (page 17) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(1871),(1958),(Male),1916-1932,Prints & Illustrated Books
"Cloud Rock (plate, page 78) from 1¢ Life",Sam Francis,(American),(1923),(1994),(Male),1964,Prints & Illustrated Books
Untitled from an untitled portfolio,Mateo Manaure,(Venezuelan),(1926),(2018),(Male),1969,Prints & Illustrated Books
Untitled from Traces of anonymous pupil authors,Haegue Yang,(Korean),(1971),,(Female),2001,Prints & Illustrated Books
Tailpiece (page 81) from ODES,André Derain,(French),(1880),(1954),(Male),1953,Prints & Illustrated Books
Salt Lake City,Lee Friedlander,(American),(1934),,(Male),1965,Photography
Château de Bagatelle,Eugène Atget,(French),(1857),(1927),(Male),1913,Photography
Tailpiece (page 171) from L'ODYSSÉE,Émile Bernard,(French),(1868),(1941),(Male),1930,Prints & Illustrated Books
The Orchestra,Walter Richard Sickert,(British),(1860),(1942),(Male),(c. 1900-1910),Prints & Illustrated Books
"Untitled, no. 1 of 12, from the illustrated book, To Whom It May Concern",Louise Bourgeois,(American),(1911),(2010),(Female),2010,Prints & Illustrated Books
Untitled from Farewell,Moshe Gershuni,(Israeli),(1936),(2017),(Male),1992,Prints & Illustrated Books
"Midway Gardens, Chicago, IL",Frank Lloyd Wright,(American),(1867),(1959),(Male),1913,Architecture & Design
"DEATH OF MOSES, plate 41 (volume, folio 90) from the BIBLE",Marc Chagall,(French),(1887),(1985),(Male),1931-1956,Prints & Illustrated Books
She-Paul-A-Wee,William Henry Jackson,(American),(1843),(1942),(Male),1875,Photography
Volcano,Roman Signer,(Swiss),(1938),,(Male),1989,Media and Performance Art
Palmolive,George Brecht,(American),(1926),(2008),(Male),1962,Prints & Illustrated Books
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,(American),(1969),,(Male),2010,Prints & Illustrated Books
Portrait of Mies from Fluxus 1,George Maciunas,(American),(1931),(1978),(Male),1964,Prints & Illustrated Books
Great Builders II,Jean Charlot,(American),(1898),(1979),(Male),1927,Prints & Illustrated Books
Motherfucker from The Bad Habits,Lisa Yuskavage,(American),(1962),,(Female),1997,Prints & Illustrated Books
"Entrance to Rockcut Dwelling, Bandelier National Monument",William R. Current,(American),(1923),,(Male),1962,Photography
Three Kids and a Sled,Philip Fein,(American),(1912),(1994),(Male),c. 1940,Photography
Study of Kuang Kung,Seong Moy,(American),(1921),(2013),(Male),1952,Prints & Illustrated Books
Abacus (Furnishing fabric),Paul Rand,(American),(1914),(1996),(Male),c.1946,Architecture & Design
Venezuela,Dorothea Lange,(American),(1895),(1965),(Female),1960,Photography
"Ancien Couvent des Bénédictins anglais, 269 bis rue Saint-Jacques",Eugène Atget,(French),(1857),(1927),(Male),1900,Photography
Sky Backdrop,Alex Israel,(American),(1982),,(Male),2013,Painting & Sculpture
Union der Sozialistischen Sowjet-Republiken: Pressa Köln (Union of Socialist Soviet Republics),El Lissitzky,(Russian),(1890),(1941),(Male),1928,Prints & Illustrated Books
New York City,Lee Friedlander,(American),(1934),,(Male),1978,Photography
Progressive IV for VENTRILOQUIST,Jasper Johns,(American),(1930),,(Male),1986,Prints & Illustrated Books
Untitled,Eugène Atget,(French),(1857),(1927),(Male),1899-1900,Photography
Plate (facing page 118) from SAINTE MONIQUE,Pierre Bonnard,(French),(1867),(1947),(Male),1920-1930,Prints & Illustrated Books
Museum,Peter Blume,(American),(1906),(1992),(Male),1932,Drawings
Folio,Terry Winters,(American),(1949),,(Male),1985-1986,Prints & Illustrated Books
Duino,César Paternosto,(Argentine),(1931),,(Male),1966,Painting & Sculpture
Unmade Bed,Joe Goode,(American),(1937),,(Male),1968,Painting & Sculpture
#2 from an untitled series,Larry Bell,(American),(1939),,(Male),1974,Prints & Illustrated Books
Untitled from Notes on a Room,Richard Artschwager,(American),(1923),(2013),(Male),1998,Prints & Illustrated Books
Untitled,Dan McCarthy,(American),(1962),,(Male),2000,Drawings
Untitled,Wade Guyton,(American),(1972),,(Male),2006,Painting & Sculpture
"French Embassy Staff Quarters, New Delhi, India",Raj Rewal,(Indian),(1934),,(Male),1967,Architecture & Design
Plate (folio 9) from HIOB,Hella Fischer-Thorer,(German),(1928),(1978),(Female),1965,Prints & Illustrated Books
Z. I. Gorbovets. Graviury na dereve,Zinovii Gorbovets,(),,,(),1927,Prints & Illustrated Books
Lapeyrouse Wall,Peter Doig,(British),(1959),,(Male),2004,Painting & Sculpture
The Language of Fashion (El lenguaje de la moda),Juan Luis Martinez,(Chilean),(1942),(1993),(Male),1979,Drawings
Adam,Amedeo Modigliani,(Italian),(1884),(1920),(Male),(1916),Drawings
Untitled from Pisueña,Juan Uslé,(Spanish),(1954),,(Male),2009,Prints & Illustrated Books
Roberta's Excorcism Flower Arrangements,Lynn Hershman Leeson,(American),(1941),,(Female),1978,Photography
(Number 1 of a newspaper campaign),Karl Gerstner,(Swiss),(1930),,(Male),1964,Architecture & Design
Untitled,Nathan Lyons,(American),(1930),(2016),(Male),1958,Photography
Femme de Verrières,Eugène Atget,(French),(1857),(1927),(Male),1872-1927,Photography
Public Sculptures in Public Places,Bob Cato,(Nationality unknown),(1923),,(Male),1967,Architecture & Design
Double page plate (pages 20 and 21) from TAGEBÜCHER,Antonio Saura,(Spanish),(1930),(1998),(Male),1988,Prints & Illustrated Books
Plate (page 215) from LES PETITES FLEURS,Émile Bernard,(French),(1868),(1941),(Male),1928,Prints & Illustrated Books
Untitled from the series 'Ten Thousand Things That Breathe',Renato Orara,(American),(1961),,(Male),2003,Drawings
Jardin de Luxembourg,Pavel Tchelitchew,(American),(1898),(1957),(Male),c. 1923-1924,Drawings
Vocal Group Niji,Tadanori Yokoo,(Japanese),(1936),,(Male),1964,Architecture & Design
Untitled,Unknown,(),,,(),c. 1900,Photography
Sex Pistols Flyer,Jamie Reid,(British),(1947),,(Male),1975,Architecture & Design
Milk Stone,Wolfgang Laib,(German),(1950),,(Male),1978,Painting & Sculpture
"ECCE HOMO, plate XVIII (folio 21) from SCÈNES DE LA VIE DU CHRIST",James Ensor,(Belgian),(1860),(1949),(Male),1913-1921,Prints & Illustrated Books
(Portrait),Alfred Capel Cure,(British),(1826),(1896),(Male),1826-1896,Photography
Upholstery Material,Anni Albers,(American),(1899),(1994),(Female),1929,Architecture & Design
Double page fold-out plate (folios 17 and 18) from PICCOLO CIRCOLO CHIUSO,Mimmo Paladino,(Italian),(1948),,(Male),1991,Prints & Illustrated Books
The Unfinished Conversation,John Akomfrah,(British),(1957),,(Male),2012,Media and Performance Art
In-text plate (page 138) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,(French),(1871),(1958),(Male),1926-1938,Prints & Illustrated Books
Nancy,Nancy Hellebrand,(American),(1944),,(Female),1982,Photography
