Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"54040","2019-06-18 19:22:30","1","45","<data><sentiment-analysis><social-network-analysis><twitter>","1",""
"54041","2019-06-18 19:38:03","0","126","<time-series><clustering><k-means>","1",""
"54043","2019-06-18 20:36:31","3","1776","<classification><unbalanced-classes><lightgbm>","1","0"
"54049","2019-06-18 21:07:05","2","19","<machine-learning><deep-learning><data-science-model><management>","0","2"
"54052","2019-06-18 23:26:57","3","1837","<python><pandas><dummy-variables>","3","0"
"54053","2019-06-19 00:00:35","1","109","<machine-learning>","1",""
"54056","2019-06-19 03:05:19","0","27","<machine-learning><cnn><loss-function>","0",""
"54058","2019-06-19 06:28:26","0","64","<machine-learning><predictive-modeling>","3",""
"54061","2019-06-19 07:04:59","1","28","<machine-learning><classification><computer-vision><image-recognition><ocr>","0",""
"54065","2019-06-19 07:24:18","0","17","<predictive-modeling><random-forest><xgboost><k-means>","1",""
"54069","2019-06-19 08:47:50","1","20","<machine-learning><online-learning>","0","2"
"54071","2019-06-19 09:07:09","0","42","<machine-learning><optimization><unsupervised-learning><market-basket-analysis>","0",""
"54072","2019-06-19 09:59:28","0","154","<machine-learning><neural-network><classification><keras><tensorflow>","1",""
"54073","2019-06-19 10:17:07","-1","55","<clustering>","1",""
"62592","2019-11-03 03:05:26","3","48","<predictive-modeling><churn><aggregation><survival-analysis>","1",""
"62593","2019-11-03 03:21:41","0","54","<machine-learning><python><deep-learning><keras><lstm>","0",""
"62594","2019-11-03 03:29:23","1","31","<pandas><dataframe><geospatial>","1",""
"62595","2019-11-03 05:01:38","0","24","<classification>","0","1"
"62596","2019-11-03 05:15:30","0","26","<machine-learning><gradient-descent><gaussian><kernel><discriminant-analysis>","0",""
"62598","2019-11-03 06:49:58","0","22","<nlp><lstm><rnn><word-embeddings>","0",""
"62599","2019-11-03 07:14:29","0","21","<machine-learning><deep-learning><naive-bayes-classifier><generative-models>","0",""
"62600","2019-11-03 07:30:11","1","23","<machine-learning><python><predictive-modeling><machine-learning-model>","0",""
"62605","2019-11-03 10:01:03","0","9","<neural-network><classification><pytorch>","0",""
"62612","2019-11-03 18:25:00","1","33","<tensorflow>","1",""
"62616","2019-11-03 19:57:27","1","38","<python><neural-network><keras><recommender-system><embeddings>","0",""
"62617","2019-11-03 20:59:44","1","63","<forecasting><time>","0",""
"62622","2019-11-04 03:05:37","0","39","<keras><tensorflow><loss-function><numpy>","0",""
"62623","2019-11-04 03:08:08","0","160","<machine-learning><classification><multilabel-classification>","3",""
"62624","2019-11-04 03:15:54","1","30","<dataset><visualization><graphs>","1",""
"62627","2019-11-04 04:50:55","0","32","<deep-learning><convnet><pytorch><data-augmentation>","0",""
"62628","2019-11-04 05:10:24","0","35","<python><logistic-regression><gradient-descent>","1",""
"62630","2019-11-04 05:27:49","0","23","<data-analysis>","1",""
"62634","2019-11-04 06:37:49","0","391","<xgboost><multilabel-classification>","0",""
"62638","2019-11-04 08:46:37","0","45","<neural-network><sequence-to-sequence><nlg>","0",""
"62640","2019-11-04 10:47:03","1","36","<machine-learning><feature-selection><model-selection>","1",""
"62645","2019-11-04 12:03:16","0","89","<cross-validation><overfitting><sampling>","1",""
"62649","2019-11-04 12:55:42","3","263","<svm><proximal-svm><least-squares-svm>","2",""
"62651","2019-11-04 13:17:35","1","39","<machine-learning><python><neural-network><keras><mathematics>","1",""
"62653","2019-11-04 13:58:34","0","328","<python><keras><tensorflow><machine-learning-model><colab>","0",""
"62655","2019-11-04 14:12:09","0","49","<machine-learning>","1",""
"62657","2019-11-04 15:00:09","1","16","<python><classification><nlp><word2vec>","1",""
"62658","2019-11-04 15:22:32","11","8387","<tensorflow><nlp><pytorch><bert>","4","6"
"62660","2019-11-04 15:44:58","0","19","<deep-learning><yolo>","0",""
"62661","2019-11-04 15:48:26","0","18","<machine-learning><python><predictive-modeling><geospatial>","0",""
"62662","2019-11-04 16:24:07","1","108","<markov>","1","2"
"62663","2019-11-04 16:41:16","0","30","<machine-learning><python><neural-network><time-series><forecasting>","0",""
"62664","2019-11-04 16:48:02","1","151","<machine-learning><lightgbm>","0",""
"62667","2019-11-04 17:41:26","0","15","<r>","0",""
"62671","2019-11-04 19:21:58","0","15","<machine-learning><neural-network><deep-learning><reinforcement-learning><backpropagation>","0",""
"62674","2019-11-04 20:07:11","0","29","<scikit-learn><nlp><feature-selection><feature-engineering>","0",""
"62676","2019-11-04 21:00:01","0","27","<keras><tensorflow><transfer-learning>","0",""
"62677","2019-11-04 21:01:52","1","36","<neural-network><keras><loss-function>","0","1"
"62678","2019-11-04 21:26:39","0","11","<machine-learning><time-series>","0",""
"62680","2019-11-04 23:35:53","0","39","<deep-learning><reinforcement-learning>","0","1"
"62681","2019-11-05 00:19:59","1","31","<machine-learning><xgboost><feature-engineering>","0",""
"62686","2019-11-05 01:52:48","0","11","<machine-learning><fuzzy-logic>","0",""
"62687","2019-11-05 01:56:08","0","47","<python><clustering><k-means><unsupervised-learning><pyspark>","2",""
"62689","2019-11-05 02:26:49","2","327","<machine-learning><python><deep-learning><opencv>","1",""
"62690","2019-11-05 02:44:41","0","28","<sequence-to-sequence><attention-mechanism>","1",""
"62691","2019-11-05 04:45:01","1","33","<visualization>","1",""
"62694","2019-11-05 06:11:46","3","682","<python><ipython><scala><windows>","2",""
"62697","2019-11-05 07:36:44","0","96","<machine-learning><neural-network><deep-learning><cnn><prediction>","0",""
"62698","2019-11-05 08:38:48","0","649","<keras><multilabel-classification><multitask-learning><multi-output>","1",""
"62699","2019-11-05 10:13:51","2","64","<python><neural-network><keras><prediction><autoencoder>","0",""
"62701","2019-11-05 11:28:45","1","24","<regression><normalization><lasso>","1","1"
"62706","2019-11-05 12:08:06","0","28","<nlp><multilabel-classification><dimensionality-reduction>","1",""
"57401","2019-08-11 21:38:06","1","35","<gaussian-process>","2",""
"57405","2019-08-11 22:39:52","6","104","<dataset><data-cleaning><missing-data><data-imputation>","2",""
"57406","2019-08-11 23:16:18","0","71","<python>","2",""
"57409","2019-08-11 23:55:55","0","567","<r><rstudio>","1",""
"57410","2019-08-12 00:05:08","0","58","<python><encoding>","0",""
"57411","2019-08-12 00:13:43","0","10","<predictive-modeling><lstm><forecasting><generalization>","0",""
"57413","2019-08-12 01:17:47","1","29","<machine-learning><cnn><convnet><loss-function><backpropagation>","0",""
"57415","2019-08-12 01:51:24","0","148","<scikit-learn><decision-trees><prediction>","1",""
"57418","2019-08-12 03:40:03","0","14","<machine-learning><time-series><forecasting>","0",""
"57419","2019-08-12 05:32:58","0","194","<deep-learning>","1",""
"57421","2019-08-12 06:32:10","0","14","<neural-network><deep-learning><keras><cnn><image-classification>","0",""
"57423","2019-08-12 07:24:58","-1","73","<dataset><data><pytorch><beginner>","1",""
"57424","2019-08-12 07:33:28","-1","34","<machine-learning><r><machine-learning-model>","1",""
"57425","2019-08-12 07:52:05","0","172","<python><keras><tensorflow><data-science-model>","0","0"
"57427","2019-08-12 08:36:37","0","394","<machine-learning><deep-learning><time-series><anomaly-detection>","3",""
"57428","2019-08-12 09:31:15","0","29","<machine-learning><classification><predictive-modeling><prediction>","0",""
"57429","2019-08-12 10:30:38","0","12","<text-mining><similarity><distance><jaccard-coefficient>","0",""
"57435","2019-08-12 12:42:39","5","640","<machine-learning><deep-learning><recommender-system>","1","3"
"57436","2019-08-12 13:44:40","0","24","<machine-learning><dataset><rnn><supervised-learning>","2",""
"57437","2019-08-12 14:00:22","2","22","<time-series><lstm><forecasting>","0",""
"57441","2019-08-12 15:30:36","0","20","<machine-learning><deep-learning><algorithms>","0",""
"57443","2019-08-12 16:30:25","3","281","<machine-learning><python><feature-selection><correlation>","1",""
"57444","2019-08-12 16:31:23","2","18","<machine-learning>","1",""
"57446","2019-08-12 16:50:29","0","23","<random-forest><orange><missing-data>","0",""
"57449","2019-08-12 18:02:44","1","64","<python><nlp><feature-construction>","1","1"
"57452","2019-08-12 20:38:37","0","52","<machine-learning><neural-network><keras><lstm><stacked-lstm>","0",""
"57453","2019-08-12 20:57:48","0","31","<keras><multilabel-classification>","0",""
"57454","2019-08-12 21:01:14","1","85","<cnn><overfitting><regularization>","0",""
"57455","2019-08-12 21:46:02","0","12","<orange>","0",""
"57456","2019-08-12 22:18:02","1","15","<machine-learning><regression><predictive-modeling><metric>","1",""
"57459","2019-08-12 22:48:35","1","559","<machine-learning><time-series><forecasting>","1",""
"57461","2019-08-13 02:14:09","1","63","<python><classification><regression><predictive-modeling><model-selection>","1",""
"57463","2019-08-13 03:43:35","2","60","<machine-learning><k-nn>","0",""
"57464","2019-08-13 04:04:21","0","29","<time-series><forecast>","0","1"
"57465","2019-08-13 04:21:20","1","63","<feature-engineering>","1",""
"57466","2019-08-13 04:42:36","4","51","<gradient-descent><cost-function>","2",""
"57468","2019-08-13 06:10:29","0","23","<missing-data>","0",""
"57469","2019-08-13 06:28:48","1","9","<ensemble-modeling>","0",""
"57472","2019-08-13 07:05:32","0","39","<python>","2",""
"57476","2019-08-13 08:07:44","1","78","<reinforcement-learning>","1",""
"57478","2019-08-13 08:32:57","0","19","<neural-network><predictive-modeling>","0",""
"57479","2019-08-13 08:49:34","0","76","<deep-learning><time-series><lstm><rnn><categorical-data>","0",""
"57480","2019-08-13 08:54:54","0","30","<random-forest>","1",""
"57481","2019-08-13 09:00:08","1","42","<machine-learning-model><apache-spark><pipelines>","1",""
"57482","2019-08-13 09:01:00","0","46","<tableau>","1",""
"57483","2019-08-13 09:15:03","0","17","<machine-learning><dataset><cnn><object-detection><faster-rcnn>","0",""
"57486","2019-08-13 11:02:51","0","243","<python><r><xgboost><pickle>","0",""
"57487","2019-08-13 11:05:29","1","4222","<python><pandas>","2",""
"57489","2019-08-13 11:23:19","1","76","<nlp><nltk><parsing>","1",""
"57492","2019-08-13 12:21:57","0","77","<python><neural-network><keras>","2",""
"57493","2019-08-13 12:30:39","0","12","<dataset><data-analysis><noise><noisification>","0",""
"57494","2019-08-13 12:34:51","0","10","<statistics><bayesian>","0",""
"57497","2019-08-13 12:53:29","2","85","<optimization><gradient-descent><regularization>","1",""
"57499","2019-08-13 13:37:58","0","53","<cnn><backpropagation><activation-function>","0",""
"57500","2019-08-13 14:14:11","0","18","<machine-learning><optimization>","0",""
"57502","2019-08-13 15:29:05","1","92","<r><time-series><variance>","1",""
"57503","2019-08-13 15:38:32","0","88","<python><tensorflow><time-series><cnn>","1",""
"54083","2019-06-19 12:57:50","2","73","<scikit-learn>","2","1"
"54084","2019-06-19 12:59:00","1","83","<classification><variance><math><bias>","1","1"
"54085","2019-06-19 13:02:40","0","22","<machine-learning><deep-learning><mlp>","0",""
"54086","2019-06-19 13:11:19","0","23","<classification><algorithms><recommender-system><feature-engineering><preprocessing>","0",""
"54088","2019-06-19 13:52:28","0","10","<nlp><training><graphs>","0",""
"54089","2019-06-19 13:55:05","1","63","<named-entity-recognition>","1",""
"54091","2019-06-19 15:15:21","0","29","<deep-learning><classification><sequence-to-sequence>","0",""
"54093","2019-06-19 15:30:15","1","111","<nlp><clustering><feature-selection><unsupervised-learning><dimensionality-reduction>","1",""
"54094","2019-06-19 15:43:06","0","191","<data-mining><predictive-modeling><visualization><machine-learning-model><kaggle>","1",""
"54095","2019-06-19 16:02:47","0","21","<r><time-series><forecast>","0",""
"54096","2019-06-19 16:20:18","0","28","<machine-learning><random-forest><decision-trees><linear-regression><machine-learning-model>","0",""
"54098","2019-06-19 17:01:52","1","15","<machine-learning><scikit-learn><random-forest><machine-learning-model><data-science-model>","0",""
"54099","2019-06-19 17:18:22","0","20","<machine-learning><dropout><generalization>","1",""
"54100","2019-06-19 17:26:36","0","38","<image-recognition>","0",""
"54102","2019-06-19 18:02:21","0","11","<r>","0",""
"54103","2019-06-19 18:24:00","2","27","<classification><multiclass-classification>","1","1"
"54105","2019-06-19 18:42:35","0","77","<classification>","2",""
"54108","2019-06-19 21:57:37","0","52","<cnn><accuracy><pooling>","0",""
"54109","2019-06-16 04:10:50","0","46","<research><education>","0",""
"54110","2019-06-19 22:34:48","0","13","<classification><multiclass-classification>","1",""
"54111","2019-06-19 23:40:03","1","84","<time-series><clustering><lstm><data><preprocessing>","0",""
"54112","2019-06-20 00:04:10","1","933","<machine-learning><data-cleaning><feature-engineering><feature-extraction><feature-scaling>","1",""
"54114","2019-06-20 00:54:56","0","22","<databases>","0",""
"54118","2019-06-20 03:39:19","2","42","<machine-learning><python><pytorch><weight-initialization>","0",""
"54119","2019-06-20 04:43:24","0","10","<svm><perceptron><kernel>","0",""
"54120","2019-06-20 04:48:43","1","195","<python><nlp><word-embeddings><word>","2",""
"54127","2019-06-20 06:15:31","1","58","<machine-learning><classification><dataset><statistics><data-science-model>","1",""
"54130","2019-06-20 07:19:58","0","102","<deep-learning><time-series><lstm><forecast><sequence-to-sequence>","0","0"
"54134","2019-06-20 08:42:11","1","80","<keras><tensorflow><rstudio>","2",""
"54135","2019-06-20 08:46:04","0","10","<tensorflow><feature-engineering><estimators><google-prediction-api>","0","1"
"54138","2019-06-20 09:06:34","2","3388","<machine-learning><time-series><categorical-data>","3",""
"54142","2019-06-20 09:40:33","0","141","<machine-learning><linear-regression><gradient-descent>","0",""
"54143","2019-06-20 09:41:53","0","24","<machine-learning><python><deep-learning><predictive-modeling>","0",""
"54145","2019-06-20 09:45:09","0","9","<deep-learning><dataset><annotation>","0",""
"54150","2019-06-20 11:57:05","0","290","<dataset>","2",""
"54152","2019-06-20 12:15:42","1","148","<lstm><recurrent-neural-net><forecasting><generalization>","0",""
"54153","2019-06-20 12:23:09","0","24","<recommender-system><cosine-distance>","1",""
"54157","2019-06-20 13:53:18","1","29","<bert>","0",""
"54158","2019-06-20 14:00:16","1","39","<python><xgboost><cross-validation><unbalanced-classes><probability-calibration>","2",""
"54159","2019-06-20 14:01:54","1","1513","<neural-network><keras>","1","1"
"54160","2019-06-20 14:03:12","0","484","<tensorflow><similarity><text><encoding>","0",""
"54163","2019-06-20 15:08:10","1","275","<cnn><hyperparameter-tuning><grid-search><gridsearchcv><finetuning>","1",""
"54164","2019-06-20 15:08:44","0","14","<machine-learning-model><scalability><cloud>","0",""
"54166","2019-06-20 15:45:22","0","33","<neural-network><keras><nlp><word2vec>","2",""
"54167","2019-06-20 16:01:09","0","492","<machine-learning><normalization>","2",""
"54168","2019-06-20 16:06:44","0","55","<image-classification><multiclass-classification><finetuning>","2",""
"54178","2019-06-20 18:22:06","3","890","<image-preprocessing>","1","1"
"54181","2019-06-21 00:01:08","1","25","<bigdata><apache-spark><scala>","0",""
"54182","2019-06-21 00:02:15","1","26","<machine-learning><tensorflow>","0",""
"54184","2019-06-21 00:43:45","0","82","<feature-selection><xgboost>","3","1"
"54185","2019-06-21 01:18:42","0","103","<machine-learning><normalization>","1",""
"54186","2019-06-21 01:56:22","0","55","<machine-learning><text-mining><information-retrieval><automatic-summarization>","2",""
"54074","2019-06-19 10:41:20","0","52","<time-series><linear-regression><model-selection>","1",""
"54080","2019-06-19 11:36:20","0","28","<graphs><pgm>","0","0"
"54081","2019-06-19 12:37:23","0","28","<python><random-forest><xgboost><boosting>","0",""
"57279","2019-08-09 00:02:23","-1","51","<machine-learning><clustering><image-classification>","1",""
"57283","2019-08-09 01:54:07","2","35","<classification><nlp>","0","1"
"57286","2019-08-09 03:24:54","3","421","<lstm><rnn>","1","1"
"57288","2019-08-09 05:56:58","0","65","<deep-learning><keras><pytorch>","0",""
"57289","2019-08-09 06:13:26","0","114","<machine-learning><classification><data>","3",""
"57296","2019-08-09 08:12:16","0","322","<probability><math><mathematics>","2",""
"57297","2019-08-09 08:42:56","2","275","<tensorflow>","1",""
"57298","2019-08-09 09:27:51","0","53","<neural-network><cnn><image-classification><cross-validation>","2",""
"57301","2019-08-09 09:35:42","2","19","<lstm><pytorch>","0",""
"57302","2019-08-09 09:46:37","0","147","<machine-learning><feature-selection><data><3d-reconstruction>","1",""
"57310","2019-08-09 10:52:38","2","3891","<neural-network><keras><tensorflow><data-science-model>","2",""
"57312","2019-08-09 11:14:46","0","34","<classification><r><clustering>","1",""
"57315","2019-08-09 12:00:27","0","15","<anomaly-detection><normalization>","0",""
"57317","2019-08-09 12:44:29","3","207","<lstm><pytorch><sequence>","0",""
"57321","2019-08-09 14:02:40","0","14","<python><deep-learning><optimization><scipy><distributed>","0",""
"57322","2019-08-09 14:09:28","1","58","<machine-learning><neural-network><self-driving>","1",""
"57324","2019-08-09 16:48:23","0","105","<nlp>","0",""
"57325","2019-08-09 17:19:56","3","243","<machine-learning><classification><k-nn>","3",""
"57326","2019-08-09 17:33:30","0","127","<deep-learning><tensorflow><nlp>","0",""
"57328","2019-08-09 18:14:22","0","40","<machine-learning><linear-regression>","0","1"
"57330","2019-08-09 18:28:49","0","5","<machine-learning><machine-learning-model><methodology>","0","1"
"57332","2019-08-09 20:08:14","1","66","<machine-learning><deep-learning><cnn><rnn>","0",""
"57336","2019-08-09 21:39:29","0","29","<machine-learning><image-classification><orange>","0",""
"57338","2019-08-09 23:43:52","0","612","<categorical-data><unbalanced-classes><smotenc>","1",""
"57341","2019-08-10 06:48:49","0","40","<machine-learning><regression>","1",""
"57342","2019-08-10 08:20:48","0","57","<python><classification><svm>","1",""
"57343","2019-08-10 08:33:00","2","213","<scikit-learn><distance><k-nn>","1","0"
"57346","2019-08-10 08:53:31","0","40","<r><sql>","1",""
"57347","2019-08-10 09:47:47","1","28","<machine-learning><data-mining>","1",""
"57353","2019-08-10 12:33:34","0","78","<python><neural-network><scikit-learn><mlp>","1",""
"57357","2019-08-10 13:40:05","2","38","<regularization>","1",""
"57361","2019-08-10 18:11:16","0","11","<r><svm><multilabel-classification><kernel>","0",""
"57363","2019-08-10 19:26:16","0","35","<similarity><normalization><distance>","0",""
"57364","2019-08-10 19:32:02","1","24","<keras><nlp><optimization>","1",""
"57366","2019-08-10 21:55:46","2","49","<explainable-ai>","0","2"
"57367","2019-08-10 22:24:49","3","216","<classification><research>","5","1"
"57368","2019-08-11 00:17:29","1","55","<classification>","1",""
"57371","2019-08-11 02:38:59","2","111","<machine-learning><python><feature-selection><random-forest><dimensionality-reduction>","2",""
"57374","2019-08-11 10:44:10","2","109","<cnn><image>","0",""
"57375","2019-08-11 10:45:52","0","16","<machine-learning>","0",""
"57378","2019-08-11 13:47:54","1","87","<machine-learning><python><scikit-learn><random-forest><grid-search>","2",""
"57388","2019-08-11 17:01:01","0","15","<python><neural-network><classification><clustering>","0",""
"57390","2019-08-11 17:30:18","0","6","<nlp><word2vec><natural-language-process><similar-documents>","0",""
"57393","2019-08-11 18:09:20","1","92","<python><numpy>","1",""
"57395","2019-08-11 19:07:00","0","61","<svm><unbalanced-classes><class-imbalance><metric><gridsearchcv>","0",""
"57396","2019-08-11 19:21:51","1","17","<rnn><loss-function><backpropagation>","0",""
"57398","2019-08-11 20:45:43","2","83","<preprocessing><categorical-data>","1","0"
"57399","2019-08-11 21:14:56","2","219","<neural-network><regression><random-forest><cross-validation><overfitting>","1",""
"44621","2019-01-26 23:18:17","0","674","<r>","3",""
"44624","2019-01-27 02:53:33","2","4254","<keras><tensorflow><lstm>","3","1"
"44625","2019-01-27 06:16:27","1","50","<machine-learning><deep-learning><transfer-learning>","0",""
"44627","2019-01-27 07:54:54","0","331","<python><tensorflow><anaconda>","2",""
"44635","2019-01-27 11:22:36","0","214","<machine-learning><neural-network><recommender-system><embeddings>","1",""
"44637","2019-01-27 11:50:17","0","129","<machine-learning><neural-network><supervised-learning>","1","1"
"44293","2019-01-20 15:53:19","3","3681","<neural-network><dropout>","1","1"
"44300","2019-01-20 18:52:29","1","137","<anonymization>","3",""
"44302","2019-01-20 19:35:26","2","1136","<python><neural-network><keras><regression>","1",""
"44303","2019-01-20 19:39:23","2","139","<neural-network><deep-learning><lstm><cnn><natural-language-process>","3",""
"44306","2019-01-20 20:30:38","0","1762","<classification><scikit-learn><nlp><naive-bayes-classifier>","1",""
"44307","2019-01-20 20:55:42","3","141","<graphs><embeddings>","3",""
"44313","2019-01-21 04:32:05","1","45","<python><bigdata><data><bayesian>","0","2"
"44315","2019-01-21 05:52:55","2","1166","<reinforcement-learning><q-learning><dynamic-programming>","1","3"
"44317","2019-01-21 07:12:01","2","54","<dataset><statistics><recommender-system><ab-test>","1","1"
"44319","2019-01-21 08:04:23","0","42","<machine-learning><classification><machine-learning-model><evaluation>","1",""
"44322","2019-01-21 10:33:13","1","95","<machine-learning><predictive-modeling><lstm><recommender-system><natural-language-process>","0","1"
"44323","2019-01-21 11:17:17","2","45","<neural-network><activation-function>","0","1"
"44324","2019-01-21 11:34:40","5","3606","<machine-learning><neural-network><gradient-descent>","2",""
"44325","2019-01-21 11:53:15","1","34","<neural-network><deep-learning><regularization><generative-models><embeddings>","2",""
"44327","2019-01-21 12:02:00","2","569","<machine-learning><python><pandas><sampling>","1","1"
"44330","2019-01-21 13:08:09","0","484","<machine-learning><deep-learning><training><image-preprocessing>","2",""
"44335","2019-01-21 16:00:49","1","127","<r><time-series><statistics>","1",""
"44336","2019-01-21 16:10:08","1","239","<machine-learning><neural-network><deep-learning><feature-engineering>","1","2"
"44340","2019-01-21 16:56:11","1","48","<machine-learning><statistics><math>","1",""
"44354","2019-01-22 03:53:05","3","1121","<xgboost>","2",""
"44358","2019-01-22 06:08:57","0","54","<deep-learning><prediction><social-network-analysis><reference-request>","1",""
"44359","2019-01-22 06:15:18","0","36","<machine-learning><scikit-learn><clustering>","1",""
"44360","2019-01-22 06:16:05","0","826","<python><neural-network><keras><regression><lstm>","1",""
"44367","2019-01-22 08:40:40","1","72","<deep-learning><image-classification>","2","1"
"44369","2019-01-22 10:36:39","1","27","<deep-learning><reinforcement-learning><q-learning><dqn><deep-network>","0","1"
"44374","2019-01-22 12:55:40","0","474","<python><keras><pyspark>","1",""
"44377","2019-01-22 13:33:58","1","48","<career>","2",""
"44379","2019-01-22 13:57:34","1","85","<machine-learning><neural-network><embeddings>","1",""
"44383","2019-01-22 15:11:11","1","461","<machine-learning><python><classification><nltk>","3",""
"44387","2019-01-22 17:37:07","4","2119","<machine-learning><python><scikit-learn><pandas><data-science-model>","3",""
"44389","2019-01-22 18:09:20","1","192","<machine-learning><data-mining>","4","2"
"44391","2019-01-22 18:45:21","3","617","<python><keras><convnet>","1","1"
"44392","2019-01-22 18:49:49","3","347","<machine-learning><predictive-modeling><prediction>","2","1"
"44402","2019-01-22 23:37:54","0","102","<machine-learning><neural-network><training><gradient-descent><perceptron>","1",""
"44406","2019-01-23 02:04:39","1","514","<word2vec><word-embeddings>","1",""
"44409","2019-01-23 03:57:26","1","49","<machine-learning><data-mining><visualization><data-analysis>","1",""
"44411","2019-01-23 04:03:02","1","92","<pytorch>","0","1"
"44414","2019-01-23 07:15:53","0","104","<keras><cnn><transfer-learning>","1",""
"44419","2019-01-23 09:21:13","1","22","<machine-learning><data-mining>","0",""
"44423","2019-01-23 09:58:41","3","2434","<python><time-series><visualization><data-analysis><forecast>","0",""
"44427","2019-01-23 10:57:09","1","69","<machine-learning><scikit-learn><pca>","1",""
"44430","2019-01-23 11:13:32","0","426","<fuzzy-logic>","1",""
"44432","2019-01-23 11:17:46","1","242","<time-series><anomaly-detection><online-learning>","0","1"
"62709","2019-11-05 13:01:27","0","22","<python><deep-learning><keras><cnn>","0",""
"62710","2019-11-05 13:12:05","0","58","<k-means>","1",""
"62712","2019-11-05 14:03:12","0","8","<python><natural-language-process><machine-translation>","0",""
"62719","2019-11-05 15:32:38","2","34","<python><dataset><pandas>","1",""
"62720","2019-11-05 15:52:25","0","13","<keras><loss-function><activation-function><inception>","0",""
"62723","2019-11-05 16:53:53","0","30","<python><scikit-learn><statistics><logistic-regression><linear-algebra>","0",""
"62725","2019-11-05 17:16:56","1","56","<classification>","2",""
"62728","2019-11-05 17:43:53","2","33","<machine-learning><python><keras><convnet><image-classification>","0","1"
"48474","2019-04-02 22:07:57","1","264","<neural-network><data-mining><orange>","0",""
"48475","2019-04-02 23:02:33","2","69","<machine-learning><deep-learning><object-detection>","0",""
"48477","2019-04-03 01:15:38","1","553","<cnn><object-detection><faster-rcnn>","0",""
"48479","2019-04-03 02:28:31","1","71","<machine-learning><scikit-learn><predictive-modeling><pandas>","2",""
"48480","2019-04-03 02:41:12","1","30","<apache-spark>","0",""
"48481","2019-04-03 03:18:33","1","25","<machine-learning><deep-learning><computer-vision>","1",""
"48482","2019-04-03 04:29:39","1","783","<loss-function>","1",""
"48486","2019-04-03 05:19:26","2","205","<machine-learning><regression><supervised-learning><model-selection>","0",""
