ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
11,Age Retirement,2012,1999,1999,Teacher,Primary,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SD,SD,A,A,A,A,D,A,SD,A,A,A,A,A,A,D,A,SD,A,N/A,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
12,Resignation-Move overseas/interstate,2012,2009,2009,Teacher,Secondary,Far North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,N,D,N,N,N,N,A,N,N,N,N,N,N,N,N,N,N,N,N,Male,31-35,N/A,N/A,N/A,N/A,N/A
13,Resignation-Other reasons,2012,1998,1998,Teacher,Primary,Far North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,SA,SA,SA,A,A,SA,SA,SA,A,A,SA,A,A,SA,SA,A,A,Female,36-40,N/A,N/A,N/A,N/A,N/A
14,Age Retirement,2012,1967,2000,Teacher,Primary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,A,N,N,A,A,A,A,A,A,A,N,N,A,A,A,A,A,D,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
15,Resignation-Other employer,2012,2007,2010,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N,SA,SA,A,A,A,SA,SA,SA,SA,N,N,A,SA,SA,SA,SA,SA,N,SA,Male,31-35,N/A,N/A,N/A,N/A,N/A
16,Voluntary Early Retirement (VER),2012,1995,2004,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,D,A,D,D,D,D,A,A,A,A,A,A,A,N,A,N,A,N,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
17,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,M,M,D,SD,M,M,SD,SD,M,M,A,M,M,M,M,SD,A,A,M,M,M,Male,61 or older,N/A,N/A,N/A,N/A,N/A
18,Age Retirement,2012,1996,1996,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,A,N/A,A,D,A,A,SA,A,A,SA,A,A,N/A,A,A,A,A,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
19,Age Retirement,2012,2006,2006,Cleaner,,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N/A,A,A,A,A,A,A,A,A,A,N/A,N/A,A,A,A,A,A,A,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
20,Age Retirement,2012,1989,1989,Cleaner,,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N/A,A,A,A,A,A,A,A,A,A,N/A,N/A,A,A,A,A,A,A,A,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
21,Resignation-Other employer,2012,1982,1982,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,N,A,A,D,D,A,A,A,N,SD,D,A,A,D,SA,N,A,SD,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
22,Resignation-Other reasons,2012,1980,2009,Cleaner,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N/A,D,SA,SA,SA,A,SA,D,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,N/A,SA,Female,51-55,N/A,N/A,N/A,N/A,N/A
23,Resignation-Other reasons,2012,1997,1998,School Administrative Staff,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,D,N,N,D,A,A,A,D,A,A,A,N,N,A,N,D,D,N,N,D,D,Female,46-50,N/A,N/A,N/A,N/A,N/A
24,Resignation-Other reasons,2012,1973,2012,Teacher,Primary,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,M,SD,D,M,SD,SD,D,D,A,D,D,M,SD,SD,SD,A,SD,SD,D,SD,SD,Female,61 or older,N/A,N/A,N/A,N/A,N/A
25,Age Retirement,2012,1981,1981,Teacher Aide,,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,SA,A,A,SA,A,A,SA,SA,SA,A,A,N,N,A,A,SA,A,N,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
26,Resignation-Other reasons,2012,1995,2002,Teacher,Primary,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,A,SD,D,D,SD,SD,N,N,A,N,N,SD,SD,A,N,N,N,A,SD,A,Female,41-45,N/A,N/A,N/A,N/A,N/A
27,Age Retirement,2012,1974,1977,Teacher,Primary,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,A,A,A,A,A,N,N,A,A,A,A,A,A,A,A,A,A,A,A,D,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
28,Resignation-Other employer,2012,2005,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,A,A,A,A,A,A,A,A,A,A,A,N,N,N,A,A,A,A,A,A,Female,21-25,Yes,N/A,N/A,N/A,N/A
29,Age Retirement,2012,1989,1989,Teacher Aide,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,A,A,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,Female,56-60,N/A,N/A,N/A,N/A,N/A
30,Age Retirement,2012,1975,2003,Teacher,Special Education,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,SA,A,A,A,A,A,A,A,A,A,A,A,SA,SA,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
31,Age Retirement,2012,1989,1989,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,D,N/A,SD,SD,SD,D,D,SD,A,SA,A,N/A,SD,A,D,D,A,M,A,SD,SA,Female,56-60,N/A,N/A,N/A,N/A,N/A
32,Age Retirement,2012,1978,1978,Teacher,Secondary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SD,D,A,N,N,A,D,A,A,A,D,N,SD,N,SD,A,A,N,A,D,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
33,Age Retirement,2012,1975,1992,Head of Curriculum/Head of Special Education,,Not Stated,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,N,N,A,A,A,A,A,A,A,A,A,A,A,A,D,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
34,Resignation-Other reasons,2012,2003,2003,Teacher,Secondary,Not Stated,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,SD,SD,SD,D,N,N,SD,SD,SD,SD,SD,N,SD,D,N,N,N,D,N,D,N,Male,36-40,N/A,N/A,N/A,Yes,N/A
35,Resignation-Other reasons,2012,2006,2009,Cleaner,,Central Office,Education Queensland,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,SA,A,A,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
36,Ill Health Retirement,2012,2000,2000,Teacher,Special Education,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SD,N,D,D,A,D,D,SD,SA,D,D,D,SD,A,SD,D,D,D,SD,SD,D,Female,51-55,N/A,N/A,N/A,N/A,N/A
37,Age Retirement,2012,Not Stated,1997,Schools Officer,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,M,SA,A,A,SA,SA,A,SA,SA,SA,A,N/A,SA,SA,SA,SA,SA,SA,N,SA,Male,61 or older,N/A,N/A,N/A,N/A,N/A
38,Resignation-Other reasons,2012,2011,2011,Teacher Aide,,Central Queensland,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,N,N,N,SA,SA,SA,SA,N,N,Female,21-25,N/A,N/A,N/A,N/A,N/A
39,Other,2012,1998,1998,Teacher Aide,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,D,D,A,A,A,D,A,N,D,A,SD,SD,N,D,A,N,N,SD,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
40,Resignation-Move overseas/interstate,2012,Not Stated,Not Stated,Teacher,,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,N,N,D,SD,SD,N,D,SA,SA,SD,D,SA,SA,N,N,N,N,SD,N,Female,21-25,N/A,N/A,N/A,N/A,N/A
41,Resignation-Other employer,2012,1977,1980,Teacher,Primary,South East,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,SA,A,N,A,A,A,SA,SA,SA,SA,SA,SA,A,A,A,SA,A,SA,A,SA,Male,56-60,N/A,N/A,N/A,N/A,N/A
42,Resignation-Other reasons,2012,1974,1994,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,SA,N,N,SA,A,N,N,SA,SA,A,SA,N,N,SA,N,A,A,N,N,SA,Female,51-55,N/A,N/A,N/A,N/A,N/A
43,Resignation-Move overseas/interstate,2012,2011,2011,Cleaner,,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,N/A,SA,N/A,SA,SA,SA,SA,SA,SA,SA,N/A,N/A,N/A,N/A,A,A,SA,SA,N/A,N/A,Female,41-45,N/A,N/A,N/A,N/A,N/A
44,Resignation-Other reasons,2012,1976,1976,Teacher,Primary,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SA,A,N,A,A,D,N,SA,A,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,N,A,Male,51-55,N/A,N/A,N/A,N/A,N/A
45,Age Retirement,2012,1985,1991,Teacher,Primary,Metropolitan,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,N,D,A,N,D,SD,A,A,A,N,D,N,A,A,A,N,A,A,N,N,Female,51-55,N/A,N/A,N/A,N/A,N/A
46,Voluntary Early Retirement (VER),2012,1999,2001,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,A,N,A,A,A,SD,D,A,A,A,A,N,N,N,N,A,A,A,A,D,N,Female,46-50,N/A,N/A,N/A,N/A,N/A
47,Voluntary Early Retirement (VER),2012,2008,2008,Cleaner,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,N/A,N,N,N,N,N,A,A,A,A,N,D,D,N,N,A,N,N,N,N,Male,56-60,N/A,N/A,N/A,N/A,N/A
48,Age Retirement,2012,1980,1993,Teacher,Secondary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,D,A,D,A,D,D,D,A,A,D,A,N,D,D,A,D,A,A,D,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
49,Resignation-Move overseas/interstate,2012,2009,2010,Cleaner,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,21-25,N/A,N/A,N/A,N/A,N/A
50,Age Retirement,2012,1963,2007,Teacher,Primary,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,N/A,D,N,A,D,D,A,N,SA,A,A,A,A,A,A,SA,A,A,D,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
51,Resignation-Move overseas/interstate,2012,2009,2010,Cleaner,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,21-25,N/A,N/A,N/A,N/A,N/A
52,Resignation-Other reasons,2012,1993,1993,Cleaner,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,A,N,SD,SA,A,SD,N,D,N,SA,N,N,A,N,N,N,A,A,A,D,Female,61 or older,N/A,N/A,N/A,N/A,N/A
53,Other,2012,1982,1983,Teacher,Secondary,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,A,A,SA,A,SA,SA,SA,SA,A,A,A,A,A,SA,Female,61 or older,N/A,N/A,N/A,N/A,N/A
54,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,SD,SA,SA,N,A,N,A,A,N,A,D,D,D,N,N,N,N,A,SD,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
55,Age Retirement,2012,1979,2008,Teacher,Special Education,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,D,D,D,D,A,D,SD,A,SD,SD,A,SD,SD,SD,SD,SD,A,A,N,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
56,Resignation-Other employer,2012,2008,2008,Teacher Aide,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,A,A,N,A,SA,SA,N,A,N,N/A,A,N,SA,N,A,A,SA,A,A,Female,26-30,N/A,N/A,N/A,N/A,N/A
57,Age Retirement,2012,1990,1990,Teacher Aide,,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,N,N,D,A,A,A,N,A,A,D,A,N,N,N,A,A,A,A,N,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
58,Resignation-Other employer,2012,2003,2012,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,N,N,N,N,A,A,A,A,N,N,N,D,N,N,N,N,N,Male,46-50,N/A,N/A,N/A,N/A,N/A
59,Ill Health Retirement,2012,1980,2012,Teacher,Primary,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,D,D,SD,A,SD,SD,D,D,D,D,D,D,A,A,D,A,D,D,D,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
60,Age Retirement,2012,Not Stated,Not Stated,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,A,SA,,61 or older,N/A,N/A,N/A,N/A,N/A
61,Age Retirement,2012,1977,1987,Teacher,Primary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,N,A,A,A,N,A,A,A,A,A,A,N,A,A,A,A,A,A,A,Male,46-50,N/A,N/A,N/A,N/A,N/A
62,Resignation-Other reasons,2012,2011,2011,Schools Officer,,Central Queensland,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,SA,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,A,A,SA,SA,SA,A,A,Female,31-35,N/A,N/A,N/A,N/A,N/A
