PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,BONUS NUMBER
649,51,0,5/28/1983,2,29,31,40,45,48,41
649,52,0,6/4/1983,4,14,24,31,33,35,29
649,53,0,6/11/1983,7,19,26,28,45,49,34
649,54,0,6/18/1983,9,19,28,36,45,46,3
649,55,0,6/25/1983,4,11,14,20,26,30,39
649,56,0,7/2/1983,5,9,27,39,40,43,17
649,57,0,7/9/1983,16,19,22,29,44,48,31
649,58,0,7/16/1983,11,14,18,31,35,49,42
649,59,0,7/23/1983,22,23,25,26,35,41,39
649,60,0,7/30/1983,3,6,7,33,34,36,15
649,61,0,8/6/1983,9,11,27,28,37,46,29
649,62,0,8/13/1983,1,2,8,23,46,48,20
649,63,0,8/20/1983,9,12,20,21,37,43,49
649,64,0,8/27/1983,9,16,18,20,26,43,38
649,65,0,9/3/1983,1,6,13,15,22,27,10
649,66,0,9/10/1983,23,30,32,33,35,44,2
649,67,0,9/17/1983,9,21,22,29,48,49,28
649,68,0,9/24/1983,1,6,15,34,42,44,49
649,69,0,10/1/1983,1,15,20,22,24,49,40
649,70,0,10/8/1983,13,23,37,43,48,49,27
649,71,0,10/15/1983,2,3,23,26,27,40,4
649,72,0,10/22/1983,8,14,25,32,34,35,16
649,73,0,10/29/1983,1,5,7,8,11,13,3
649,74,0,11/5/1983,18,20,23,26,33,49,31
649,75,0,11/12/1983,1,2,7,13,22,31,5
649,76,0,11/19/1983,4,14,16,30,33,38,22
649,77,0,11/26/1983,3,12,16,21,33,49,44
649,78,0,12/3/1983,3,5,19,26,32,43,30
649,79,0,12/10/1983,1,14,22,25,40,42,19
649,80,0,12/17/1983,7,9,20,28,35,41,16
649,81,0,12/24/1983,1,2,13,21,42,48,7
649,82,0,12/31/1983,7,22,25,27,30,35,45
649,83,0,1/7/1984,1,7,14,31,41,43,12
649,84,0,1/14/1984,2,12,29,31,44,46,40
649,85,0,1/21/1984,1,5,14,24,25,38,27
649,86,0,1/28/1984,15,24,27,32,34,49,25
649,87,0,2/4/1984,20,26,28,30,45,48,25
649,88,0,2/11/1984,22,29,36,44,46,47,24
649,89,0,2/18/1984,4,12,16,31,44,48,41
649,90,0,2/25/1984,23,27,40,43,44,47,33
649,91,0,3/3/1984,13,26,27,38,46,47,6
649,92,0,3/10/1984,2,17,41,42,44,47,29
649,93,0,3/17/1984,6,26,28,36,37,48,23
649,94,0,3/24/1984,8,27,28,29,43,44,15
649,95,0,3/31/1984,12,19,22,23,29,36,25
649,96,0,4/7/1984,13,27,35,38,44,47,21
649,97,0,4/14/1984,3,12,31,33,45,49,6
649,98,0,4/21/1984,8,13,16,18,19,49,11
649,99,0,4/28/1984,16,24,25,28,32,44,2
649,100,0,5/5/1984,1,5,6,18,31,35,3
649,101,0,5/12/1984,6,16,19,20,25,43,40
649,102,0,5/19/1984,1,4,14,17,21,26,31
649,103,0,5/26/1984,1,3,40,43,45,46,7
649,104,0,6/2/1984,9,16,31,38,43,45,5
649,105,0,6/9/1984,6,17,29,32,39,40,47
649,106,0,6/16/1984,26,27,37,41,43,45,13
649,107,0,6/23/1984,7,16,28,34,45,47,23
649,108,0,6/30/1984,13,15,27,28,40,48,30
649,109,0,7/7/1984,6,11,20,23,25,35,37
649,110,0,7/14/1984,6,16,26,28,41,49,34
649,111,0,7/21/1984,2,7,34,36,37,40,15
649,112,0,7/28/1984,2,5,29,35,37,38,39
649,113,0,8/4/1984,1,10,18,27,35,38,30
649,114,0,8/11/1984,5,6,10,20,40,43,26
649,115,0,8/18/1984,12,13,15,35,38,39,4
649,116,0,8/25/1984,5,11,12,16,24,28,34
649,117,0,9/1/1984,3,24,27,33,41,44,4
649,118,0,9/8/1984,23,25,29,38,39,43,17
649,119,0,9/15/1984,7,8,10,15,31,37,43
649,120,0,9/22/1984,4,11,12,16,36,43,30
649,121,0,9/29/1984,21,22,29,36,38,41,20
649,122,0,10/6/1984,5,10,26,31,37,44,7
649,123,0,10/13/1984,3,14,24,31,35,46,17
649,124,0,10/20/1984,5,10,11,28,41,44,19
649,125,0,10/27/1984,1,16,25,36,39,42,5
649,126,0,11/3/1984,6,7,17,21,43,49,8
649,127,0,11/10/1984,20,22,27,34,44,48,41
649,128,0,11/17/1984,8,35,44,46,48,49,22
649,129,0,11/24/1984,5,30,34,36,43,49,17
649,130,0,12/1/1984,3,14,18,25,36,45,30
649,131,0,12/8/1984,7,13,24,31,39,40,8
649,132,0,12/15/1984,9,12,16,20,36,39,4
649,133,0,12/22/1984,6,18,21,31,35,48,9
649,134,0,12/29/1984,16,19,27,30,44,45,11
649,135,0,1/5/1985,7,17,18,24,29,48,34
649,136,0,1/12/1985,9,34,38,39,43,44,1
649,137,0,1/19/1985,7,24,35,37,45,47,23
649,138,0,1/26/1985,6,30,33,39,41,49,47
649,139,0,2/2/1985,5,18,22,23,25,26,2
649,140,0,2/9/1985,2,5,21,24,29,46,25
649,141,0,2/16/1985,3,7,15,24,38,41,29
649,142,0,2/23/1985,1,2,7,9,20,43,33
649,143,0,3/2/1985,17,19,27,30,36,43,1
649,144,0,3/9/1985,6,7,8,35,36,43,33
649,145,0,3/16/1985,3,6,18,21,33,34,49
649,146,0,3/23/1985,14,23,31,33,35,47,18
649,147,0,3/30/1985,8,16,20,30,31,48,12
649,148,0,4/6/1985,8,21,27,34,41,46,31
649,149,0,4/13/1985,7,20,24,46,48,49,41
649,150,0,4/20/1985,4,8,14,21,30,49,13
649,151,0,4/27/1985,4,14,27,37,40,44,46
649,152,0,5/4/1985,1,2,5,7,40,44,35
649,153,0,5/11/1985,6,15,20,22,26,46,21
649,154,0,5/18/1985,19,21,32,39,43,45,20
649,155,0,5/25/1985,9,12,24,30,31,47,39
649,156,0,6/1/1985,13,16,19,24,33,48,17
649,157,0,6/8/1985,9,11,19,27,30,46,12
649,158,0,6/15/1985,4,21,23,27,45,47,14
649,159,0,6/22/1985,1,7,15,20,31,45,22
649,160,0,6/29/1985,2,10,39,46,47,48,35
649,161,0,7/6/1985,5,24,26,36,41,45,35
649,162,0,7/13/1985,4,5,10,22,30,35,18
649,163,0,7/20/1985,7,9,11,16,43,46,34
649,164,0,7/27/1985,3,8,21,24,30,42,19
649,165,0,8/3/1985,2,8,9,18,31,42,32
649,166,0,8/10/1985,7,11,14,18,34,45,44
649,167,0,8/17/1985,4,21,32,38,43,45,41
649,168,0,8/24/1985,6,19,22,27,36,40,3
649,169,0,8/31/1985,3,9,13,15,27,30,42
649,170,0,9/7/1985,30,32,35,40,43,44,23
649,171,0,9/11/1985,4,9,14,15,44,45,32
649,172,0,9/14/1985,11,23,43,46,47,49,1
649,173,0,9/18/1985,8,12,19,33,41,45,24
649,174,0,9/21/1985,3,11,16,20,21,24,44
649,175,0,9/25/1985,5,9,12,33,45,47,32
649,176,0,9/28/1985,7,9,21,28,29,35,10
649,177,0,10/2/1985,1,26,33,34,38,46,31
649,178,0,10/5/1985,4,6,22,27,31,33,45
649,179,0,10/9/1985,7,8,11,19,25,39,3
649,180,0,10/12/1985,3,6,13,18,31,40,10
649,181,0,10/16/1985,1,3,8,18,35,47,30
649,182,0,10/19/1985,22,27,30,39,41,44,38
649,183,0,10/23/1985,1,6,11,27,33,41,9
649,184,0,10/26/1985,16,26,32,35,43,46,40
649,185,0,10/30/1985,19,24,32,36,38,41,47
649,186,0,11/2/1985,11,19,25,26,36,45,6
649,187,0,11/6/1985,16,20,26,34,38,47,27
649,188,0,11/9/1985,9,11,13,29,36,45,12
649,189,0,11/13/1985,5,9,23,28,40,46,49
649,190,0,11/16/1985,4,13,18,23,24,40,45
649,191,0,11/20/1985,31,32,36,38,39,44,20
649,192,0,11/23/1985,2,7,12,27,29,44,21
649,193,0,11/27/1985,19,24,26,34,41,43,27
649,194,0,11/30/1985,4,17,19,25,32,39,2
649,195,0,12/4/1985,4,5,20,29,31,47,1
649,196,0,12/7/1985,4,26,29,34,39,40,18
649,197,0,12/11/1985,9,19,20,32,33,37,39
649,198,0,12/14/1985,9,10,17,21,38,48,30
649,199,0,12/18/1985,1,7,19,36,42,49,45
649,200,0,12/21/1985,6,9,14,26,36,46,42
649,201,0,12/25/1985,1,7,11,14,19,38,32
649,202,0,12/28/1985,17,21,22,25,39,47,44
649,203,0,1/1/1986,3,6,18,31,38,49,42
649,204,0,1/4/1986,6,20,23,29,32,37,18
649,205,0,1/8/1986,9,10,12,18,32,48,31
649,206,0,1/11/1986,4,12,21,40,42,45,2
649,207,0,1/15/1986,1,10,13,19,25,33,45
649,208,0,1/18/1986,11,17,23,26,30,34,4
649,209,0,1/22/1986,2,19,26,27,44,47,8
649,210,0,1/25/1986,24,26,29,40,44,46,16
649,211,0,1/29/1986,3,9,11,37,45,46,6
649,212,0,2/1/1986,4,5,9,19,29,31,45
649,213,0,2/5/1986,6,26,29,31,32,41,36
649,214,0,2/8/1986,2,5,7,36,38,42,32
649,215,0,2/12/1986,1,12,15,19,22,30,36
649,216,0,2/15/1986,20,22,30,43,46,48,44
649,217,0,2/19/1986,5,17,23,35,45,48,39
649,218,0,2/22/1986,9,16,19,25,34,36,23
649,219,0,2/26/1986,11,15,26,33,40,49,38
649,220,0,3/1/1986,7,12,13,14,35,43,20
649,221,0,3/5/1986,1,7,17,28,41,45,39
649,222,0,3/8/1986,7,24,28,31,37,43,41
649,223,0,3/12/1986,9,10,20,22,41,42,23
649,224,0,3/15/1986,8,9,34,41,44,47,21
649,225,0,3/19/1986,19,25,34,40,42,46,18
649,226,0,3/22/1986,5,8,17,20,21,42,44
649,227,0,3/26/1986,2,4,25,28,38,46,9
649,228,0,3/29/1986,15,22,28,29,42,46,36
649,229,0,4/2/1986,5,10,17,21,31,36,40
649,230,0,4/5/1986,18,29,32,34,35,46,2
649,231,0,4/9/1986,5,19,22,30,39,45,48
649,232,0,4/12/1986,17,18,23,32,36,39,10
649,233,0,4/16/1986,9,28,29,32,41,49,33
649,234,0,4/19/1986,7,17,26,28,42,48,43
649,235,0,4/23/1986,4,5,7,25,38,42,43
649,236,0,4/26/1986,8,10,24,27,35,43,22
649,237,0,4/30/1986,2,9,13,18,20,29,42
649,238,0,5/3/1986,12,18,30,38,39,47,6
649,239,0,5/7/1986,9,16,22,40,42,47,15
649,240,0,5/10/1986,4,10,17,26,39,47,19
649,241,0,5/14/1986,8,16,19,26,33,45,10
649,242,0,5/17/1986,1,25,34,41,44,49,37
649,243,0,5/21/1986,20,25,36,39,43,45,26
649,244,0,5/24/1986,2,21,26,28,41,49,5
649,245,0,5/28/1986,3,18,21,31,34,37,48
649,246,0,5/31/1986,8,16,17,37,40,41,19
649,247,0,6/4/1986,3,4,5,14,17,31,37
649,248,0,6/7/1986,3,16,21,41,45,46,49
649,249,0,6/11/1986,5,14,24,27,36,43,26
649,250,0,6/14/1986,3,21,29,37,40,47,30
649,251,0,6/18/1986,2,14,18,28,32,43,31
649,252,0,6/21/1986,1,8,10,34,42,45,14
649,253,0,6/25/1986,1,5,15,33,35,47,24
649,254,0,6/28/1986,1,4,20,33,34,37,38
649,255,0,7/2/1986,5,16,18,31,46,49,42
649,256,0,7/5/1986,7,10,12,32,44,48,21
649,257,0,7/9/1986,16,24,25,36,44,45,18
649,258,0,7/12/1986,7,17,20,30,33,43,39
649,259,0,7/16/1986,7,17,29,31,38,47,27
649,260,0,7/19/1986,7,25,28,32,37,43,16
649,261,0,7/23/1986,3,13,17,24,32,35,47
649,262,0,7/26/1986,3,14,29,34,46,49,48
649,263,0,7/30/1986,3,26,39,44,48,49,13
649,264,0,8/2/1986,8,14,21,24,38,47,23
649,265,0,8/6/1986,1,5,7,10,23,40,47
649,266,0,8/9/1986,5,8,14,21,33,34,10
649,267,0,8/13/1986,4,5,34,35,40,43,15
649,268,0,8/16/1986,14,25,35,40,41,43,12
649,269,0,8/20/1986,6,7,9,21,38,43,45
649,270,0,8/23/1986,1,4,19,31,45,47,36
649,271,0,8/27/1986,7,11,18,33,38,40,32
649,272,0,8/30/1986,4,11,25,32,45,46,10
649,273,0,9/3/1986,20,27,41,44,47,49,34
649,274,0,9/6/1986,8,9,19,35,39,48,20
649,275,0,9/10/1986,3,13,18,22,42,43,46
649,276,0,9/13/1986,10,14,16,43,44,49,29
649,277,0,9/17/1986,9,21,30,32,39,41,27
649,278,0,9/20/1986,8,9,11,15,19,25,10
649,279,0,9/24/1986,2,12,38,40,42,48,45
649,280,0,9/27/1986,4,5,11,19,34,38,27
649,281,0,10/1/1986,2,17,24,30,34,39,18
649,282,0,10/4/1986,8,14,16,24,26,38,21
649,283,0,10/8/1986,3,17,20,22,24,49,25
649,284,0,10/11/1986,7,12,26,33,37,48,21
649,285,0,10/15/1986,10,21,24,25,39,49,23
649,286,0,10/18/1986,8,29,32,39,43,45,49
649,287,0,10/22/1986,3,16,34,36,45,48,13
649,288,0,10/25/1986,1,3,16,41,42,46,31
649,289,0,10/29/1986,13,17,21,22,24,46,27
649,290,0,11/1/1986,19,22,24,36,38,41,33
649,291,0,11/5/1986,23,25,26,27,38,46,4
649,292,0,11/8/1986,2,3,6,11,31,42,1
649,293,0,11/12/1986,1,17,26,33,36,43,30
649,294,0,11/15/1986,4,23,24,34,39,47,45
649,295,0,11/19/1986,2,7,8,22,34,47,3
649,296,0,11/22/1986,5,13,18,32,34,39,21
649,297,0,11/26/1986,14,20,22,26,35,44,40
649,298,0,11/29/1986,2,4,6,21,27,42,17
649,299,0,12/3/1986,4,15,25,31,33,47,26
649,300,0,12/6/1986,6,8,24,37,45,48,11
649,301,0,12/10/1986,14,23,25,30,33,35,17
649,302,0,12/13/1986,3,6,7,14,27,43,33
649,303,0,12/17/1986,16,21,25,35,37,40,44
649,304,0,12/20/1986,7,14,16,34,46,48,49
649,305,0,12/24/1986,1,10,19,24,37,41,48
649,306,0,12/27/1986,3,15,16,20,26,34,32
649,307,0,12/31/1986,8,11,16,20,27,44,36
649,308,0,1/3/1987,3,11,16,23,47,49,25
649,309,0,1/7/1987,1,3,29,35,37,47,45
649,310,0,1/10/1987,7,9,17,18,26,35,46
649,311,0,1/14/1987,4,21,23,33,34,36,31
649,312,0,1/17/1987,7,15,16,18,31,44,46
649,313,0,1/21/1987,2,11,19,34,42,44,49
649,314,0,1/24/1987,12,16,20,27,41,42,37
649,315,0,1/28/1987,15,18,27,44,46,47,33
649,316,0,1/31/1987,6,12,15,24,36,49,48
649,317,0,2/4/1987,2,15,21,42,47,49,41
649,318,0,2/7/1987,14,15,16,31,32,39,5
649,319,0,2/11/1987,11,12,29,33,43,46,22
649,320,0,2/14/1987,12,15,16,25,29,37,13
649,321,0,2/18/1987,2,10,20,26,35,48,16
649,322,0,2/21/1987,9,16,21,27,40,44,11
649,323,0,2/25/1987,2,5,24,25,36,46,23
649,324,0,2/28/1987,2,11,16,23,29,45,37
649,325,0,3/4/1987,6,17,24,26,31,32,37
649,326,0,3/7/1987,11,16,22,25,34,37,5
649,327,0,3/11/1987,1,21,24,27,30,37,39
649,328,0,3/14/1987,2,4,12,30,35,46,34
649,329,0,3/18/1987,2,18,22,30,31,33,12
649,330,0,3/21/1987,1,15,22,38,42,45,18
649,331,0,3/25/1987,3,5,6,11,20,44,48
649,332,0,3/28/1987,13,16,40,41,47,48,5
649,333,0,4/1/1987,4,28,38,39,43,45,44
649,334,0,4/4/1987,2,8,29,32,40,47,5
649,335,0,4/8/1987,14,16,18,29,31,35,33
649,336,0,4/11/1987,18,25,27,28,40,46,11
649,337,0,4/15/1987,15,26,29,34,46,47,37
649,338,0,4/18/1987,9,10,11,21,28,37,33
649,339,0,4/22/1987,27,31,33,34,39,46,44
649,340,0,4/25/1987,1,27,29,34,42,48,33
649,341,0,4/29/1987,5,7,10,20,37,38,27
649,342,0,5/2/1987,9,11,15,21,32,42,35
649,343,0,5/6/1987,5,16,19,25,46,48,38
649,344,0,5/9/1987,3,9,32,38,40,47,49
649,345,0,5/13/1987,1,5,21,36,44,45,22
649,346,0,5/16/1987,1,9,16,17,38,42,30
649,347,0,5/20/1987,6,8,10,18,22,45,1
649,348,0,5/23/1987,1,27,34,40,41,44,35
649,349,0,5/27/1987,16,18,21,23,34,38,32
649,350,0,5/30/1987,3,12,18,22,31,36,37
649,351,0,6/3/1987,4,7,11,35,40,41,10
649,352,0,6/6/1987,4,10,19,32,39,41,36
649,353,0,6/10/1987,6,8,15,17,20,23,45
649,354,0,6/13/1987,8,16,29,32,40,46,28
649,355,0,6/17/1987,10,17,24,34,37,41,33
649,356,0,6/20/1987,5,20,22,25,36,48,9
649,357,0,6/24/1987,3,15,40,41,43,47,38
649,358,0,6/27/1987,1,15,31,32,37,42,38
649,359,0,7/1/1987,3,12,15,18,21,33,5
649,360,0,7/4/1987,4,19,26,32,44,46,36
649,361,0,7/8/1987,5,13,14,18,37,40,16
649,362,0,7/11/1987,10,24,28,33,38,46,43
649,363,0,7/15/1987,4,17,29,38,39,45,31
649,364,0,7/18/1987,3,8,40,46,47,48,43
649,365,0,7/22/1987,1,8,26,32,43,49,35
649,366,0,7/25/1987,2,11,22,23,32,40,47
649,367,0,7/29/1987,10,26,31,36,39,46,2
649,368,0,8/1/1987,1,4,20,28,44,47,21
649,369,0,8/5/1987,17,29,32,41,42,43,37
649,370,0,8/8/1987,14,18,26,39,41,49,38
649,371,0,8/12/1987,1,4,13,16,30,31,36
649,372,0,8/15/1987,10,14,21,31,34,49,44
649,373,0,8/19/1987,4,17,19,30,41,44,38
649,374,0,8/22/1987,19,23,27,28,35,49,12
649,375,0,8/26/1987,3,8,28,32,36,48,29
649,376,0,8/29/1987,1,15,16,26,29,37,9
649,377,0,9/2/1987,11,13,17,20,45,49,22
649,378,0,9/5/1987,8,11,15,31,32,33,35
649,379,0,9/9/1987,15,23,35,38,46,47,13
649,380,0,9/12/1987,4,22,23,28,29,36,38
649,381,0,9/16/1987,3,4,6,15,35,40,45
649,382,0,9/19/1987,3,7,21,24,29,48,28
649,383,0,9/23/1987,4,8,10,16,22,41,7
649,384,0,9/26/1987,21,22,28,36,41,49,23
649,385,0,9/30/1987,4,9,10,11,28,30,32
649,386,0,10/3/1987,14,18,23,25,28,30,36
649,387,0,10/7/1987,3,4,6,13,14,48,40
649,388,0,10/10/1987,8,9,17,28,33,36,10
649,389,0,10/14/1987,16,20,25,32,33,42,31
649,390,0,10/17/1987,4,14,15,23,40,49,2
649,391,0,10/21/1987,1,3,5,14,27,44,10
649,392,0,10/24/1987,3,24,25,38,39,44,36
649,393,0,10/28/1987,7,18,27,30,39,40,32
649,394,0,10/31/1987,9,16,17,24,35,41,10
649,395,0,11/4/1987,3,4,7,8,16,34,26
649,396,0,11/7/1987,6,16,26,30,32,43,19
649,397,0,11/11/1987,10,17,18,37,39,43,2
649,398,0,11/14/1987,1,13,19,32,33,38,47
649,399,0,11/18/1987,18,36,40,43,45,49,33
649,400,0,11/21/1987,1,7,11,12,29,39,16
649,401,0,11/25/1987,13,26,33,45,46,49,10
649,402,0,11/28/1987,4,8,9,24,43,47,17
649,403,0,12/2/1987,15,22,30,35,37,49,26
649,404,0,12/5/1987,1,5,25,30,31,48,23
649,405,0,12/9/1987,20,29,33,39,41,48,7
649,406,0,12/12/1987,2,9,11,31,37,40,41
649,407,0,12/16/1987,12,25,37,41,42,48,1
649,408,0,12/19/1987,12,13,18,22,32,33,19
649,409,0,12/23/1987,16,29,30,39,43,44,31
649,410,0,12/26/1987,1,17,26,37,39,49,46
649,411,0,12/30/1987,1,13,17,18,45,48,49
649,412,0,1/2/1988,17,20,31,38,39,49,34
649,413,0,1/6/1988,8,13,22,23,26,47,42
649,414,0,1/9/1988,16,17,23,28,32,45,34
649,415,0,1/13/1988,7,19,29,38,43,45,37
649,416,0,1/16/1988,8,27,29,36,37,39,47
649,417,0,1/20/1988,3,8,12,23,30,43,31
649,418,0,1/23/1988,3,12,19,35,47,49,22
649,419,0,1/27/1988,2,4,23,36,44,49,22
649,420,0,1/30/1988,5,18,21,25,44,47,10
649,421,0,2/3/1988,5,29,30,33,41,49,1
649,422,0,2/6/1988,4,7,8,12,42,43,49
649,423,0,2/10/1988,8,18,33,37,40,42,44
649,424,0,2/13/1988,10,11,12,24,25,36,9
649,425,0,2/17/1988,5,14,23,27,36,37,28
649,426,0,2/20/1988,10,18,27,28,42,48,17
649,427,0,2/24/1988,7,10,15,20,27,29,30
649,428,0,2/27/1988,3,4,16,18,25,43,47
649,429,0,3/2/1988,8,10,26,34,42,44,33
649,430,0,3/5/1988,11,13,14,24,40,48,45
649,431,0,3/9/1988,4,10,18,19,37,40,41
649,432,0,3/12/1988,1,26,36,42,44,46,20
649,433,0,3/16/1988,1,16,19,35,39,40,11
649,434,0,3/19/1988,10,28,31,34,39,47,49
649,435,0,3/23/1988,3,8,29,31,43,48,11
649,436,0,3/26/1988,27,30,31,33,38,42,28
649,437,0,3/30/1988,9,12,19,35,36,44,48
649,438,0,4/2/1988,6,10,21,30,36,49,40
649,439,0,4/6/1988,10,19,24,31,39,47,32
649,440,0,4/9/1988,6,12,18,24,32,35,22
649,441,0,4/13/1988,9,17,19,28,40,46,15
649,442,0,4/16/1988,18,21,30,39,40,49,15
649,443,0,4/20/1988,1,2,7,11,34,43,5
649,444,0,4/23/1988,5,14,18,24,42,49,6
649,445,0,4/27/1988,17,33,38,39,46,49,1
649,446,0,4/30/1988,1,12,20,23,31,49,11
649,447,0,5/4/1988,2,5,9,23,38,43,3
649,448,0,5/7/1988,1,14,27,37,39,42,30
649,449,0,5/11/1988,12,14,17,21,23,29,3
649,450,0,5/14/1988,2,6,20,34,39,44,37
649,451,0,5/18/1988,4,5,6,13,24,31,44
649,452,0,5/21/1988,3,7,15,19,31,34,43
649,453,0,5/25/1988,2,13,28,40,41,43,36
649,454,0,5/28/1988,2,5,28,31,42,45,9
649,455,0,6/1/1988,2,20,24,34,43,49,41
649,456,0,6/4/1988,15,19,28,32,35,42,45
649,457,0,6/8/1988,2,6,22,27,34,37,12
649,458,0,6/11/1988,3,8,16,22,27,44,23
649,459,0,6/15/1988,5,9,15,21,27,47,4
649,460,0,6/18/1988,3,5,14,30,35,40,32
649,461,0,6/22/1988,2,18,24,25,27,30,46
649,462,0,6/25/1988,8,22,28,31,32,38,39
649,463,0,6/29/1988,6,10,26,39,41,47,8
649,464,0,7/2/1988,26,32,33,35,38,44,12
649,465,0,7/6/1988,6,13,19,22,25,27,16
649,466,0,7/9/1988,8,10,25,31,43,47,41
649,467,0,7/13/1988,8,9,15,22,25,31,7
649,468,0,7/16/1988,1,8,13,28,31,44,39
649,469,0,7/20/1988,9,13,19,23,34,40,1
649,470,0,7/23/1988,12,14,20,33,38,43,18
649,471,0,7/27/1988,1,4,31,33,36,39,32
649,472,0,7/30/1988,2,7,10,14,23,42,17
649,473,0,8/3/1988,1,3,20,22,30,44,33
649,474,0,8/6/1988,5,28,29,32,43,45,20
649,475,0,8/10/1988,7,15,17,29,40,47,36
649,476,0,8/13/1988,11,24,35,45,46,48,40
649,477,0,8/17/1988,5,32,34,40,45,47,15
649,478,0,8/20/1988,6,19,33,35,43,44,34
649,479,0,8/24/1988,5,8,16,32,34,43,6
649,480,0,8/27/1988,17,20,23,27,36,47,37
649,481,0,8/31/1988,6,31,34,37,39,48,15
649,482,0,9/3/1988,6,20,22,27,32,41,37
649,483,0,9/7/1988,2,5,13,23,35,45,48
649,484,0,9/10/1988,4,16,17,18,22,44,41
649,485,0,9/14/1988,10,27,30,33,36,48,9
649,486,0,9/17/1988,2,4,15,24,28,41,34
649,487,0,9/21/1988,8,9,10,18,30,39,22
649,488,0,9/24/1988,3,7,18,21,41,44,32
649,489,0,9/28/1988,2,4,6,11,42,44,26
649,490,0,10/1/1988,6,20,35,42,47,49,38
649,491,0,10/5/1988,3,12,14,29,31,33,23
649,492,0,10/8/1988,7,23,27,29,44,49,18
649,493,0,10/12/1988,1,7,9,21,46,47,36
649,494,0,10/15/1988,2,13,27,29,35,38,44
649,495,0,10/19/1988,8,12,16,20,21,44,49
649,496,0,10/22/1988,2,3,8,24,32,48,28
649,497,0,10/26/1988,13,16,17,19,35,45,3
649,498,0,10/29/1988,1,24,32,36,48,49,47
649,499,0,11/2/1988,3,7,23,28,31,49,9
649,500,0,11/5/1988,16,31,40,42,45,49,21
649,501,0,11/9/1988,4,6,15,32,34,35,8
649,502,0,11/12/1988,13,15,24,28,41,46,21
649,503,0,11/16/1988,1,18,19,31,45,49,41
649,504,0,11/19/1988,4,5,24,25,36,39,47
649,505,0,11/23/1988,22,33,38,39,44,49,43
649,506,0,11/26/1988,2,18,23,35,37,42,1
649,507,0,11/30/1988,4,20,33,47,48,49,45
649,508,0,12/3/1988,1,14,15,30,37,49,19
649,509,0,12/7/1988,4,17,22,28,30,47,46
