Survived,PassengerId,Age_categories_Missing,Age_categories_Infant,Age_categories_Child,Age_categories_Teenager,Age_categories_Young Adult,Age_categories_Adult,Age_categories_Senior,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,SibSp_scaled,Parch_scaled,Fare_scaled,Fare_categories_0-12,Fare_categories_12-50,Fare_categories_50-100,Fare_categories_100+,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Cabin_type_A,Cabin_type_B,Cabin_type_C,Cabin_type_D,Cabin_type_E,Cabin_type_F,Cabin_type_G,Cabin_type_T,Cabin_type_Unknown
0,13,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,14,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.125,0.8333333333333333,0.06104473451835265,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,15,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015330377421392339,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,16,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.0,0.0,0.03122992013728673,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,17,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0.5,0.16666666666666666,0.05684821399990475,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,18,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,19,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.125,0.0,0.03513366015444757,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,20,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,0.014102260811993537,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,21,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.050748620223090936,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,22,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,23,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015671954672893913,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,24,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.06929138530460494,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,25,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.375,0.16666666666666666,0.04113566043083236,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,26,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.125,0.8333333333333333,0.06126431989431795,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,27,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014102260811993537,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,28,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.375,0.3333333333333333,0.5133418122566507,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,29,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.01537917417160685,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,30,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,31,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0.0,0.05410739813385612,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,32,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.125,0.0,0.2859895551532101,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,33,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015126992566498259,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,34,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,35,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.125,0.0,0.16038672010106003,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,36,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.125,0.0,0.10149724044618187,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,37,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014110458666029575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,38,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,39,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.25,0.0,0.03513366015444757,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,40,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0.125,0.0,0.021942337075458514,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,41,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.125,0.0,0.018493968331299484,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,42,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.125,0.0,0.04098927018018883,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,43,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,44,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0.125,0.3333333333333333,0.08115719346076702,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,45,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.01537917417160685,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,46,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,47,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.125,0.0,0.030253985132996517,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,48,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015126992566498259,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,49,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.25,0.0,0.04231498029001666,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,50,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.125,0.0,0.034743286152731485,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,51,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.5,0.16666666666666666,0.07746484096553544,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,52,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.01522458606692728,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,53,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.125,0.0,0.1497654242623688,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,54,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,55,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.0,0.16666666666666666,0.1209753416358076,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,56,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.06929138530460494,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,57,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,58,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014110458666029575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,59,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.125,0.3333333333333333,0.05416439273810667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,60,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.625,0.3333333333333333,0.09154270340242172,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,61,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.014110458666029575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,62,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,0.0,0.15614960068643363,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,63,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.125,0.0,0.16293234896625058,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,64,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.375,0.3333333333333333,0.05445717323939373,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,65,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.05410739813385612,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,66,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.125,0.16666666666666666,0.029757819776815374,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,67,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,68,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015923941091001644,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,69,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.5,0.3333333333333333,0.015468569817999833,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,70,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.25,0.0,0.016908073949327893,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,71,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,72,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.625,0.3333333333333333,0.09154270340242172,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,73,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.1434624456306609,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,74,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.125,0.0,0.028212719478023115,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,75,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.11027245763075773,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,76,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.014931805565640218,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,77,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,78,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,79,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,0.3333333333333333,0.056604230248832196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,80,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.024349578357040744,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,81,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.017566830077223785,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,82,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.018542765081513996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,83,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0.0,0.015200187691820024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,84,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.0,0.09193307740413781,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,85,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.020494635090094415,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,86,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.375,0.0,0.030937139635999665,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,87,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.125,0.5,0.06709553154495196,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,88,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,89,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.375,0.3333333333333333,0.5133418122566507,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,90,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,91,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,92,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015330377421392339,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,93,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.125,0.0,0.11940564777490723,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,94,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.125,0.3333333333333333,0.04015972542654215,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,95,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0,0.0,0.014151057562208049,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,96,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,97,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0.0,0.0,0.06764049365134761,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,98,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.0,0.16666666666666666,0.12366716556464086,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,99,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.16666666666666666,0.044893010197349675,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,100,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,101,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,102,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,103,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,0.16666666666666666,0.15085515328815924,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,104,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.016891873428256675,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,105,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.25,0.0,0.015468569817999833,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,106,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,107,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.014931805565640218,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,108,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015175789316712771,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,109,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,110,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.125,0.0,0.04713766070721715,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,111,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,0.0,0.10149724044618187,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,112,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0.125,0.0,0.028212719478023115,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,113,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,114,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.125,0.0,0.019177122834302632,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,115,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,0.028220722145058292,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,116,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015468569817999833,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,117,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,118,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.125,0.0,0.04098927018018883,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,119,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.0,0.16666666666666666,0.4831284260198326,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,120,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5,0.3333333333333333,0.06104473451835265,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,121,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.25,0.0,0.1434624456306609,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,122,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015712553569072387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,123,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.125,0.0,0.058694292654020104,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,124,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.025374310111545468,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,125,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.0,0.16666666666666666,0.15085515328815924,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,126,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0.125,0.0,0.021942337075458514,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,127,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.0,0.0,0.015126992566498259,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,128,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.01393967004027879,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,129,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.125,0.16666666666666666,0.04364049521284362,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,130,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.0,0.0,0.013614293309848433,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,131,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.015411575213749286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,132,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.013760683560491965,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,133,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.125,0.0,0.028302115124416098,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,134,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0.125,0.0,0.050748620223090936,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,135,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.025374310111545468,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,136,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.0,0.0,0.02936744577509929,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,137,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.0,0.3333333333333333,0.051301584996521765,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,138,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.125,0.0,0.10364429745562033,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,139,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.01798980030808316,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,140,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.15458810467956932,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,141,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,0.3333333333333333,0.029757819776815374,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,142,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.0,0.0,0.015126992566498259,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,143,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.125,0.0,0.030937139635999665,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,144,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.0,0.0,0.013175122557917838,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,145,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.022446505098674838,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,146,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0.125,0.16666666666666666,0.07173122281533045,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,147,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.015216388212891242,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,148,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.25,0.3333333333333333,0.06709553154495196,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
