last_name,first_name,birthday,gender,type,state,party
Robinson,Moses,1741-03-22,M,sen,VT,Anti-Administration
Schoonmaker,Cornelius,,M,rep,NY,
Seney,Joshua,1756-03-04,M,rep,MD,
Sheredine,Upton,,,rep,MD,
Sherman,Roger,1721-04-19,M,sen,CT,Pro-Administration
Silvester,Peter,,M,rep,NY,
Steele,John,1764-11-16,M,rep,NC,
Sterett,Samuel,,M,rep,MD,
Sturges,Jonathan,1740-08-23,M,rep,CT,
Tucker,Thomas,1745-06-25,M,rep,SC,
Wayne,Anthony,1745-01-01,M,rep,GA,
White,Alexander,,M,rep,VA,
Williamson,Hugh,1735-12-05,M,rep,NC,Federalist
Willis,Francis,1745-01-05,,rep,GA,
Edwards,John,,M,sen,KY,Anti-Administration
Potts,Richard,1753-07-19,M,sen,MD,Federalist
Armstrong,James,1748-08-29,M,rep,PA,
Beatty,John,1749-12-10,M,rep,NJ,
Boudinot,Elias,1740-05-02,,rep,NJ,
Bourne,Shearjashub,1746-06-14,,rep,MA,
Bradford,William,1729-11-04,M,sen,RI,Federalist
Cadwalader,Lambert,,,rep,NJ,
Carnes,Thomas,,M,rep,GA,
Clark,Abraham,1726-02-15,M,rep,NJ,
Cobb,David,1748-09-14,M,rep,MA,
Coffin,Peleg,1756-11-03,,rep,MA,
Dawson,William,,M,rep,NC,Anti-Administration
Edwards,Benjamin,1753-08-12,M,rep,MD,
Fitzsimons,Thomas,,M,rep,PA,
Forrest,Uriah,,,rep,MD,
Frelinghuysen,Frederick,1753-04-13,M,sen,NJ,Federalist
Gillon,Alexander,,M,rep,SC,
Gordon,James,1739-10-31,M,rep,NY,
Griffin,Samuel,,M,rep,VA,
Holten,Samuel,1738-06-09,M,rep,MA,
Irvine,William,1741-11-03,M,rep,PA,
Learned,Amasa,1750-11-15,,rep,CT,
Lee,Richard,1761-01-20,M,rep,VA,
Martin,Alexander,,M,sen,NC,Republican
McDowell,Joseph,1758-02-25,M,rep,NC,
Mebane,Alexander,1744-11-26,M,rep,NC,
Mercer,John,1759-05-17,M,rep,MD,
Mitchell,Stephen,1743-12-09,M,sen,CT,Pro-Administration
Montgomery,William,1736-08-03,M,rep,PA,
Neville,Joseph,,M,rep,VA,
Niles,Nathaniel,1741-04-03,M,rep,VT,
Pickens,Andrew,1739-09-13,M,rep,SC,
Scott,Thomas,,M,rep,PA,
Strong,Caleb,1745-01-09,,sen,MA,Federalist
Talbot,Silas,1751-01-11,,rep,NY,
Tredwell,Thomas,1743-02-06,M,rep,NY,
Van Gaasbeck,Peter,1754-09-27,M,rep,NY,
Vining,John,1758-12-23,M,sen,DE,Federalist
Wadsworth,Jeremiah,1743-07-12,M,rep,CT,
Walker,Francis,1764-06-22,,rep,VA,
Ward,Artemas,1727-11-26,,rep,MA,
Watts,John,1749-08-27,M,rep,NY,
Williams,Benjamin,1751-01-01,M,rep,NC,
Wingate,Paine,1739-05-14,,rep,NH,
Tazewell,Henry,1753-11-27,M,sen,VA,Republican
Walton,George,,M,sen,GA,Federalist
Ames,Fisher,1758-04-09,,rep,MA,Federalist
Bingham,William,1752-03-08,M,sen,PA,Federalist
Bloodworth,Timothy,,M,sen,NC,Republican
Bourne,Benjamin,1755-09-09,M,rep,RI,Federalist
Buck,Daniel,1753-11-09,M,rep,VT,Federalist
Coles,Isaac,1747-03-02,M,rep,VA,Republican
Crabb,Jeremiah,,M,rep,MD,Federalist
Dearborn,Henry,1751-02-23,M,rep,MA,Republican
Duvall,Gabriel,1752-12-06,,rep,MD,Republican
Earle,Samuel,1760-11-28,M,rep,SC,Republican
Gilbert,Ezekiel,1756-03-25,,rep,NY,Federalist
Greenup,Christopher,,M,rep,KY,Republican
Gunn,James,1753-03-13,M,sen,GA,Federalist
Hancock,George,1754-06-13,M,rep,VA,Federalist
Hathorn,John,1749-01-09,M,rep,NY,Republican
Heath,John,1758-05-08,M,rep,VA,Republican
Henderson,Thomas,1743-08-15,M,rep,NJ,Federalist
Henry,John,,M,sen,MD,Federalist
Langdon,John,1741-06-26,M,sen,NH,Republican
Leonard,George,1729-07-04,M,rep,MA,Federalist
Lyman,William,1755-12-07,M,rep,MA,Republican
Marshall,Humphrey,,,sen,KY,Federalist
Muhlenberg,Frederick,1750-01-01,M,rep,PA,Republican
Murray,William,1760-02-09,M,rep,MD,Federalist
Orr,Alexander,1761-11-06,M,rep,KY,Republican
Page,John,1743-04-17,M,rep,VA,Republican
Paine,Elijah,1757-01-21,M,sen,VT,Federalist
Patten,John,1746-04-26,M,rep,DE,Republican
Preston,Francis,1765-08-02,,rep,VA,Republican
Read,Jacob,,M,sen,SC,Federalist
Richards,John,1753-04-18,M,rep,PA,Republican
Rutherford,Robert,1728-10-20,M,rep,VA,Republican
Sherburne,John,,M,rep,NH,Republican
Smith,Isaac,,M,rep,NJ,Federalist
Sprigg,Thomas,,M,rep,MD,Republican
Strudwick,William,,M,rep,NC,Federalist
Swift,Zephaniah,1759-02-27,,rep,CT,Federalist
Tatom,Absalom,,,rep,NC,Republican
Trumbull,Jonathan,1740-03-26,M,sen,CT,Federalist
White,James,1749-06-16,M,rep,TN,
Blount,William,1749-03-26,M,sen,TN,Republican
Goodhue,Benjamin,1748-09-20,M,sen,MA,Federalist
Howard,John,1752-06-04,M,sen,MD,Federalist
Hunter,John,,M,sen,SC,Republican
Laurance,John,,M,sen,NY,Federalist
Tattnall,Josiah,,M,sen,GA,Republican
Allen,John,1763-06-12,M,rep,CT,Federalist
Benton,Lemuel,,,rep,SC,Republican
Bradbury,Theophilus,1739-11-13,,rep,MA,Federalist
Brooks,David,,M,rep,NY,Federalist
Bryan,Nathan,,M,rep,NC,Republican
Bullock,Stephen,1735-10-10,M,rep,MA,Federalist
Burges,Dempsey,,,rep,NC,Republican
Chapman,John,1740-10-18,M,rep,PA,Federalist
Chipman,Nathaniel,1752-11-15,M,sen,VT,Federalist
Cochran,James,1769-02-11,M,rep,NY,Federalist
Coit,Joshua,1758-10-07,M,rep,CT,Federalist
Davenport,James,1758-10-12,M,rep,CT,Federalist
Ege,George,1748-03-09,M,rep,PA,Federalist
Foster,Theodore,1752-04-29,M,sen,RI,Republican
Freeman,Nathaniel,1766-05-01,M,rep,MA,Republican
Harrison,Carter,,,rep,VA,Republican
Hosmer,Hezekiah,1765-06-07,,rep,NY,Federalist
Latimer,Henry,1752-04-24,M,sen,DE,Federalist
Lloyd,James,,M,sen,MD,Federalist
Locke,Matthew,,M,rep,NC,Republican
Machir,James,,M,rep,VA,Federalist
Mason,Stevens,1760-12-29,,sen,VA,Republican
Matthews,William,1755-04-26,M,rep,MD,Federalist
McClenachan,Blair,,,rep,PA,Republican
McDowell,Joseph,1756-02-15,M,rep,NC,Republican
Morgan,Daniel,,M,rep,VA,Federalist
Parker,Isaac,1768-06-17,M,rep,MA,Federalist
Ross,James,1762-07-12,M,sen,PA,Federalist
Rutherfurd,John,1760-09-20,M,sen,NJ,Federalist
Schuyler,Philip,1733-11-20,M,sen,NY,Federalist
Sinnickson,Thomas,1744-12-21,M,rep,NJ,Federalist
Sitgreaves,Samuel,1764-03-16,M,rep,PA,Federalist
Smith,Jeremiah,1759-11-29,M,rep,NH,Federalist
Smith,Nathaniel,1762-01-06,M,rep,CT,Federalist
Smith,William,1751-09-20,M,rep,SC,Republican
Smith,William,,M,rep,SC,Federalist
Sprague,Peleg,1756-12-10,,rep,NH,Federalist
Swanwick,John,,M,rep,PA,Republican
Thomson,Mark,,M,rep,NJ,Federalist
Van Alen,John,,M,rep,NY,Federalist
Williams,John,,M,rep,NY,Federalist
Clayton,Joshua,1744-07-20,M,sen,DE,Federalist
Hobart,John,1738-05-06,M,sen,NY,Federalist
North,William,,M,sen,NY,Federalist
Watson,James,1750-04-06,M,sen,NY,Federalist
Bartlett,Bailey,1750-01-29,,rep,MA,Federalist
Brace,Jonathan,1754-11-12,M,rep,CT,Federalist
Brown,John,1736-01-27,M,rep,RI,Federalist
Brown,John,1757-09-12,M,sen,KY,Republican
Christie,Gabriel,1775-09-12,,rep,MD,Republican
Cocke,William,,M,sen,TN,Republican
Cooper,William,1754-12-02,M,rep,NY,Federalist
Craik,William,1761-10-31,M,rep,MD,Federalist
Davenport,Franklin,,M,rep,NJ,Federalist
Dayton,Jonathan,1760-10-16,M,sen,NJ,Federalist
Dent,George,,M,rep,MD,Federalist
Dexter,Samuel,1761-05-14,M,sen,MA,Federalist
Dickson,Joseph,,M,rep,NC,Federalist
Edmond,William,1755-09-28,M,rep,CT,Federalist
Eggleston,Joseph,1754-11-24,M,rep,VA,Republican
Evans,Thomas,,M,rep,VA,Federalist
Freeman,Jonathan,1745-03-21,M,rep,NH,Federalist
Gallatin,Albert,1761-01-29,M,rep,PA,Republican
Glen,Henry,1739-07-13,M,rep,NY,Federalist
Goode,Samuel,1756-03-21,M,rep,VA,Republican
Goodrich,Elizur,1761-03-24,,rep,CT,Federalist
Gordon,William,1763-04-12,M,rep,NH,Federalist
Greene,Ray,1765-02-02,,sen,RI,Federalist
Hartley,Thomas,1748-09-07,M,rep,PA,Federalist
Havens,Jonathan,1757-06-18,M,rep,NY,Republican
Imlay,James,1764-11-26,M,rep,NJ,Federalist
Jones,James,,M,rep,GA,Federalist
Kittera,John,,M,rep,PA,Federalist
Lee,Henry,1756-01-29,M,rep,VA,Federalist
Linn,James,,M,rep,NJ,Republican
Livermore,Samuel,1732-05-14,M,sen,NH,Federalist
Lyman,Samuel,1749-01-25,M,rep,MA,Federalist
Marshall,John,1755-09-24,M,rep,VA,Federalist
McMillan,William,1764-03-02,M,rep,OH,
Nicholas,John,,M,rep,VA,Republican
Nott,Abraham,1768-02-05,M,rep,SC,Federalist
Page,Robert,1765-02-04,M,rep,VA,Federalist
Parker,Josiah,1751-05-11,M,rep,VA,Federalist
Pinckney,Thomas,1750-10-23,M,rep,SC,Federalist
Platt,Jonas,1769-06-30,,rep,NY,Federalist
Powell,Leven,,,rep,VA,Federalist
Reed,John,1751-11-11,M,rep,MA,Federalist
Sedgwick,Theodore,1746-05-09,M,rep,MA,Federalist
Sewall,Samuel,1757-12-11,M,rep,MA,Federalist
Spaight,Richard,1758-03-25,M,rep,NC,Republican
Thatcher,George,1754-04-12,M,rep,MA,Federalist
Thomas,John,1764-10-15,M,rep,MD,Federalist
Thomas,Richard,1744-12-30,M,rep,PA,Federalist
Waln,Robert,1765-02-22,M,rep,PA,Federalist
Foster,Dwight,1757-12-07,,sen,MA,Federalist
Hindman,William,1743-04-01,M,sen,MD,Federalist
Morris,Gouverneur,1752-01-31,,sen,NY,Federalist
Bacon,John,1738-04-05,M,rep,MA,Republican
Bird,John,1768-11-22,M,rep,NY,Federalist
Boude,Thomas,1752-05-17,M,rep,PA,Federalist
Breckinridge,John,1760-12-02,M,sen,KY,Republican
Cabell,Samuel,1756-12-15,M,rep,VA,Republican
Colhoun,John,,M,sen,SC,Republican
Davis,Thomas,,M,rep,KY,Republican
Ellery,Christopher,1768-11-01,M,sen,RI,Republican
Elmendorf,Lucas,,,rep,NY,Republican
Fearing,Paul,1762-02-28,M,rep,OH,Federalist
Foster,Abiel,1735-08-08,,rep,NH,Federalist
Greene,Thomas,1758-02-26,M,rep,MS,
Grove,William,1764-01-15,M,rep,NC,Federalist
Henderson,Archibald,1768-08-07,M,rep,NC,Federalist
Hill,William,1767-05-01,M,rep,NC,Federalist
Hunter,Narsworthy,,,rep,MS,
Jackson,George,1757-01-09,M,rep,VA,Republican
Jackson,James,1757-09-21,M,sen,GA,Republican
Johnson,Charles,,M,rep,NC,Republican
Jones,William,,M,rep,PA,Republican
Lee,Silas,1760-07-03,,rep,MA,Federalist
Lincoln,Levi,1749-05-15,,rep,MA,Republican
Logan,George,1753-09-09,M,sen,PA,Republican
Mattoon,Ebenezer,1755-08-19,M,rep,MA,Federalist
Morris,Lewis,1760-11-02,M,rep,VT,Federalist
Morris,Thomas,1771-02-26,M,rep,NY,Federalist
Muhlenberg,John,1746-10-01,M,sen,PA,Democratic Republican
Ogden,Aaron,1756-12-03,M,sen,NJ,Federalist
Olcott,Simeon,1735-10-01,,sen,NH,Federalist
Peirce,Joseph,1748-06-25,M,rep,NH,Federalist
Perkins,Elias,1767-04-05,,rep,CT,Federalist
Read,Nathan,1759-07-02,M,rep,MA,Federalist
Rutledge,John,,M,rep,SC,Federalist
Sheafe,James,1755-11-16,M,sen,NH,Federalist
Shepard,William,1737-12-01,M,rep,MA,Federalist
Smith,Josiah,1738-02-26,M,rep,MA,Republican
Sprigg,"Richard,",,,rep,MD,Republican
Stratton,John,1769-08-19,M,rep,VA,Federalist
Taliaferro,Benjamin,,M,rep,GA,Republican
Tillinghast,Thomas,1742-08-21,M,rep,RI,Republican
Tracy,Uriah,1755-02-02,,sen,CT,Federalist
Upham,George,1768-12-27,M,rep,NH,Federalist
Van Ness,John,,M,rep,NY,Republican
Walker,Benjamin,,M,rep,NY,Federalist
Williams,Robert,,M,rep,NC,Republican
Woods,Henry,,M,rep,PA,Federalist
Butler,Pierce,1744-07-11,,sen,SC,Republican
Clinton,De,1769-03-02,,sen,NY,Republican
Plumer,William,1759-06-25,M,sen,NH,Federalist
Bailey,Theodorus,1758-10-12,,sen,NY,Republican
Baldwin,Simeon,1761-12-14,,rep,CT,Federalist
Bowie,Walter,,M,rep,MD,Republican
Bruce,Phineas,1762-06-07,,rep,MA,Federalist
Claiborne,Thomas,1749-02-01,M,rep,VA,Republican
Cutler,Manasseh,1742-05-13,,rep,MA,Federalist
Dennis,John,1771-12-17,M,rep,MD,Federalist
Dwight,Thomas,1758-10-29,M,rep,MA,Federalist
Earle,John,1766-10-23,M,rep,SC,Republican
Gillespie,James,,M,rep,NC,Republican
Griffin,Thomas,,M,rep,VA,Federalist
Griswold,Gaylord,1767-12-18,,rep,NY,Federalist
Hammond,Samuel,1757-09-21,M,rep,GA,Republican
Hampton,Wade,,,rep,SC,Republican
Hiester,Daniel,1747-06-25,M,rep,MD,Republican
Hoge,John,1760-09-10,M,rep,PA,Republican
Hunt,Samuel,1765-07-08,M,rep,NH,Federalist
Larned,Simon,1753-08-03,,rep,MA,Republican
Lewis,Thomas,,M,rep,VA,Federalist
Lowndes,Thomas,1766-01-22,M,rep,SC,Federalist
Maclay,Samuel,1741-06-17,M,sen,PA,Republican
McCord,Andrew,,M,rep,NY,Republican
Mitchell,Nahum,1769-02-12,,rep,MA,Federalist
Mott,James,1739-01-18,M,rep,NJ,Republican
Palmer,Beriah,,,rep,NY,Republican
Paterson,John,,M,rep,NY,Republican
Phelps,Oliver,1749-10-21,M,rep,NY,Republican
Plater,Thomas,1769-05-09,M,rep,MD,Federalist
Potter,Samuel,1753-06-29,M,sen,RI,Republican
Purviance,Samuel,1774-01-07,M,rep,NC,Federalist
Skinner,Thomson,1752-05-24,,rep,MA,Republican
Smith,Israel,1759-04-04,,sen,VT,Republican
Smith,John,,M,sen,OH,Republican
Stewart,John,,M,rep,PA,Republican
Thatcher,Samuel,1776-07-01,M,rep,MA,Federalist
Tibbits,George,1763-01-14,M,rep,NY,Federalist
Trigg,John,,M,rep,VA,Republican
Van Horne,Isaac,1754-01-13,M,rep,PA,Republican
Venable,Abraham,1758-11-20,M,sen,VA,Republican
White,Samuel,,M,sen,DE,Federalist
Williams,Lemuel,1747-06-18,,rep,MA,Federalist
Armstrong,John,1758-11-25,M,sen,NY,Republican
Howland,Benjamin,1755-07-27,M,sen,RI,Republican
Moore,Andrew,,M,sen,VA,Republican
Alexander,Nathaniel,1756-03-05,M,rep,NC,Republican
Anderson,Isaac,1760-11-23,M,rep,PA,Republican
Archer,John,1741-05-05,M,rep,MD,Republican
Baldwin,Abraham,1754-11-22,M,sen,GA,Republican
Bedinger,George,1756-12-10,M,rep,KY,Republican
Betton,Silas,1768-08-26,,rep,NH,Federalist
Bishop,Phanuel,1739-09-03,,rep,MA,Republican
Bryan,Joseph,1773-08-18,M,rep,GA,Republican
Casey,Levi,,,rep,SC,Republican
Clark,Christopher,,M,rep,VA,Republican
Conrad,Frederick,,M,rep,PA,Republican
Covington,Leonard,1768-10-30,M,rep,MD,Republican
Dickson,William,1770-05-05,M,rep,TN,Republican
Dwight,Theodore,1764-12-15,M,rep,CT,Federalist
Early,Peter,1773-06-20,M,rep,GA,Republican
Ellis,Caleb,1767-04-16,,rep,NH,Federalist
Elmer,Ebenezer,1752-08-23,M,rep,NJ,Republican
Fenner,James,1771-01-22,M,sen,RI,Republican
Fowler,John,,M,rep,KY,Republican
Goddard,Calvin,1768-07-17,,rep,CT,Federalist
Griswold,Roger,1762-05-21,M,rep,CT,Federalist
Halsey,Silas,1743-10-06,,rep,NY,Republican
Hamilton,John,1754-11-25,M,rep,PA,Republican
Hanna,John,,M,rep,PA,Republican
Hastings,Seth,1762-04-08,,rep,MA,Federalist
Hough,David,1753-03-13,M,rep,NH,Federalist
Kitchell,Aaron,1744-07-10,M,sen,NJ,Republican
Livingston,Henry,,M,rep,NY,Federalist
Lower,Christian,1740-01-07,,rep,PA,Republican
Lucas,John,1758-08-14,M,rep,PA,Republican
Magruder,Patrick,,M,rep,MD,Republican
McFarlan,Duncan,,,rep,NC,Republican
Mead,Cowles,1776-10-18,,rep,GA,Republican
Meriwether,David,1755-04-10,M,rep,GA,Republican
Nicholson,Joseph,1770-05-15,M,rep,MD,Republican
Olin,Gideon,1743-11-02,,rep,VT,Republican
Randolph,Thomas,1768-10-01,M,rep,VA,Republican
Sailly,Peter,1754-04-20,M,rep,NY,Republican
Sandford,Thomas,,M,rep,KY,Republican
Schuneman,Martin,1764-02-10,M,rep,NY,Republican
Smith,Daniel,1748-10-29,M,sen,TN,Republican
Smith,John,1765-02-12,M,rep,CT,Federalist
Smith,O'Brien,1784-07-31,,rep,SC,Republican
Spalding,Thomas,1774-03-26,M,rep,GA,Republican
Stanton,Joseph,1739-07-19,M,rep,RI,Republican
Sumter,Thomas,1734-08-14,M,sen,SC,Republican
Tenney,Samuel,1748-11-27,M,rep,NH,Federalist
Thompson,Philip,1766-03-26,M,rep,VA,Republican
Thruston,Buckner,1763-02-09,,sen,KY,Republican
Wadsworth,Peleg,1748-05-06,,rep,MA,Federalist
Walton,Matthew,,M,rep,KY,Republican
Whitehill,John,1729-12-11,M,rep,PA,Republican
Wickes,Eliphalet,1769-04-01,,rep,NY,Republican
Williams,Nathan,1773-12-19,M,rep,NY,Republican
Winston,Joseph,1746-06-17,M,rep,NC,Republican
Wynns,Thomas,,M,rep,NC,Republican
Milledge,John,,M,sen,GA,Republican
Alexander,Evan,,,rep,NC,Republican
Barker,Joseph,1751-10-19,M,rep,MA,Republican
Bidwell,Barnabas,1763-08-23,,rep,MA,Republican
Blake,John,1762-12-05,M,rep,NY,Republican
Boyle,John,1774-10-28,M,rep,KY,Republican
Bradley,Stephen,1754-02-20,M,sen,VT,Republican
Broom,James,,M,rep,DE,Federalist
Carleton,Peter,1755-09-19,M,rep,NH,Republican
Claiborne,John,,M,rep,VA,Republican
Clark,Daniel,,M,rep,OL,
Clay,Joseph,1769-07-24,M,rep,PA,Republican
Clinton,George,1771-06-06,M,rep,NY,Republican
Crowninshield,Jacob,1770-03-31,M,rep,MA,Republican
Darby,Ezra,1768-06-07,,rep,NJ,Republican
Dean,Josiah,1748-03-06,M,rep,MA,Republican
Durell,Daniel,1769-07-20,M,rep,NH,Republican
Elliott,James,1775-08-18,M,rep,VT,Federalist
Franklin,Jesse,1760-03-24,,sen,NC,Republican
Gardner,Francis,1771-12-27,,rep,NH,Republican
Garnett,James,1770-06-08,M,rep,VA,Republican
Goodrich,Chauncey,1759-10-20,,sen,CT,Federalist
Gregg,Andrew,1755-06-10,M,sen,PA,Republican
Harris,John,1760-09-26,M,rep,NY,Republican
Hiester,John,1745-04-09,M,rep,PA,Republican
Hoge,William,,M,rep,PA,Republican
Humphrey,Reuben,1757-09-02,M,rep,NY,Republican
Ilsley,Daniel,1740-05-30,M,rep,MA,Republican
Jones,George,1766-02-25,M,sen,GA,Republican
Kelly,James,1760-07-17,M,rep,PA,Federalist
Kirkpatrick,William,1769-11-07,M,rep,NY,Republican
Knight,Nehemiah,1746-03-23,,rep,RI,Republican
Masters,Josiah,1763-11-22,M,rep,NY,Republican
Mathewson,Elisha,1767-04-18,,sen,RI,Republican
McCreery,William,,M,rep,MD,Republican
Montgomery,Daniel,1765-10-30,M,rep,PA,Republican
Morrow,John,,M,rep,VA,Republican
Parke,Benjamin,1777-09-22,M,rep,IN,
Parker,Nahum,1760-03-04,,sen,NH,Republican
Pugh,John,1761-06-02,M,rep,PA,Republican
Richards,Jacob,,M,rep,PA,Republican
Riker,Samuel,1743-04-08,M,rep,NY,Republican
Russell,John,1772-09-07,M,rep,NY,Republican
Sloan,James,,M,rep,NJ,Republican
Smith,Jedediah,1770-11-07,,rep,NH,Republican
Smith,John,1752-02-12,M,sen,NY,Republican
Story,Joseph,1779-09-18,M,rep,MA,Republican
Swart,Peter,1752-07-05,M,rep,NY,Republican
Thomas,David,1762-06-11,M,rep,NY,Republican
Tiffin,Edward,1766-06-19,M,sen,OH,Republican
Trigg,Abram,,,rep,VA,Republican
Van Alen,James,,M,rep,NY,Republican
Van Cortlandt,Philip,1749-08-21,M,rep,NY,Republican
Verplanck,Daniel,1762-03-19,M,rep,NY,Republican
Wilbour,Isaac,1763-04-25,M,rep,RI,Republican
Williams,Marmaduke,1774-04-06,,rep,NC,Republican
Wilson,Alexander,,M,rep,VA,Republican
Wilson,Nathan,1758-12-23,M,rep,NY,Republican
Witherell,James,1759-06-16,M,rep,VT,Republican
Meigs,Return,1764-11-17,,sen,OH,Republican
Madison,James,1751-03-16,M,rep,VA,Republican
Allen,Joseph,1749-09-02,M,rep,MA,Federalist
Alston,Lemuel,,,rep,SC,Republican
Anderson,Joseph,1757-11-05,M,sen,TN,Republican
Blaisdell,Daniel,1762-01-22,M,rep,NH,Federalist
Brent,Richard,,M,sen,VA,Republican
Brown,John,,M,rep,MD,Republican
Calhoun,Joseph,1750-10-22,M,rep,SC,Republican
Campbell,Alexander,,M,sen,OH,Republican
Campbell,John,1765-09-11,M,rep,MD,Federalist
Chamberlain,John,1772-06-05,M,rep,NH,Federalist
Chamberlain,William,1755-04-27,M,rep,VT,Federalist
Champlin,Christopher,1768-04-12,M,sen,RI,Federalist
Cook,Orchard,1763-03-24,,rep,MA,Republican
Cox,James,1753-06-14,M,rep,NJ,Republican
Crist,Henry,1764-10-20,M,rep,KY,Republican
Denning,William,,M,rep,NY,
Gardenier,Barent,1776-07-28,,rep,NY,Federalist
Gardner,Gideon,1759-05-30,,rep,MA,Republican
Garland,David,1769-09-27,M,rep,VA,Republican
German,Obadiah,1766-04-22,,sen,NY,Republican
Griswold,Stanley,1763-11-14,M,sen,OH,Republican
Haven,Nathaniel,1762-07-19,M,rep,NH,Federalist
Helms,William,1783-09-30,M,rep,NJ,Republican
Hiester,Daniel,,M,rep,PA,Republican
Hillhouse,James,1754-10-20,M,sen,CT,Federalist
Holland,James,,M,rep,NC,Republican
Howard,Benjamin,,M,rep,KY,Republican
Hubbard,Jonathan,1768-05-07,M,rep,VT,Federalist
Jenkins,Robert,1769-07-10,M,rep,PA,Federalist
Jones,Walter,1745-12-18,M,rep,VA,Republican
Kenan,Thomas,1771-02-26,M,rep,NC,Republican
Knickerbocker,Herman,1779-07-27,M,rep,NY,Federalist
Lambert,John,1746-02-24,M,sen,NJ,Republican
Leib,Michael,1760-01-08,M,sen,PA,Republican
Livermore,Edward,1762-04-05,M,rep,MA,Federalist
Love,John,,M,rep,VA,Republican
Lyon,Matthew,1749-07-14,M,rep,KY,Republican
Malbone,Francis,1759-03-20,,sen,RI,Federalist
Marion,Robert,,M,rep,SC,Republican
Mathews,Vincent,1766-06-29,,rep,NY,Federalist
McKinley,William,,M,rep,VA,Republican
Miller,Pleasant,,,rep,TN,Republican
Mumford,Gurdon,1764-01-29,,rep,NY,Republican
Nelson,Roger,,M,rep,MD,Republican
Nicholas,Wilson,1761-01-31,,rep,VA,Republican
Nicholson,John,,M,rep,NY,Republican
Pickman,Benjamin,1763-09-30,M,rep,MA,Federalist
Porter,John,,M,rep,PA,Republican
Poydras,Julien,1740-04-03,,rep,OL,
Richards,Matthias,1758-02-26,,rep,PA,Republican
Robinson,Jonathan,1756-08-11,M,sen,VT,Republican
Say,Benjamin,1755-08-28,M,rep,PA,Republican
Scudder,John,1759-03-22,M,rep,NJ,Republican
Smelt,Dennis,,,rep,GA,Republican
Smith,Samuel,,M,rep,PA,Republican
Stanly,John,1774-04-09,M,rep,NC,Federalist
Stedman,William,1765-01-21,M,rep,MA,Federalist
Swoope,Jacob,,M,rep,VA,Federalist
Thompson,John,1749-03-20,M,rep,NY,Republican
Upham,Jabez,1764-08-23,,rep,MA,Federalist
Van Horne,Archibald,,M,rep,MD,Republican
Van Rensselaer,Killian,1763-06-09,,rep,NY,Federalist
Weakley,Robert,1764-07-20,M,rep,TN,Republican
Whiteside,Jenkin,,,sen,TN,Republican
Wilson,James,1766-08-16,M,rep,NH,Federalist
Witherspoon,Robert,1767-01-29,M,rep,SC,Republican
Cutts,Charles,1769-01-31,M,sen,NH,Republican
Taylor,John,1770-05-04,M,sen,SC,Republican
Worthington,Thomas,1773-07-16,M,sen,OH,Republican
Bacon,Ezekiel,1776-09-01,,rep,MA,Republican
Baker,John,,M,rep,VA,Federalist
Bartlett,Josiah,1768-08-29,M,rep,NH,Republican
Bayard,James,1767-07-28,M,sen,DE,Federalist
Blackledge,William,,M,rep,NC,Republican
Bleecker,Harmanus,1779-10-09,,rep,NY,Federalist
