DBN,SchoolName,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5
20K505,F.D. ROOSEVELT HS,228,340,186
21K344,Rachel Carson High School for Coastal Studies,34,64,
21K348,High School of Sports Management,10,10,
21K400,LAFAYETTE HS,,,
21K410,ABRAHAM LINCOLN HS,133,193,18
21K525,EDWARD R MURROW HS,397,577,307
21K540,JOHN DEWEY H.S.,232,370,154
21K690,BROOKLYN STUDIO SCHOOL,39,43,13
22K405,MIDWOOD HS,745,1223,758
22K425,JAMES MADISON HS,323,463,188
22K495,SHEEPSHEAD BAY HS,37,59,27
22K535,LEON GOLDSTEIN HS SCIENCES,367,575,382
23K493,Brooklyn Collegiate: A College Board School,15,16,
23K514,Frederick Douglass Academy VII High School,39,40,
23K697,TEACHERS PREPARATORY SCHOOL,33,37,
24Q264,Academy of Finance and  Enterprise,95,137,40
24Q267,High School of Applied Communication,46,48,
24Q455,NEWTOWN HS,174,200,117
24Q485,GROVER CLEVELAND HS,200,274,112
24Q550,HIGH SCHOOL FOR ARTS & BUSINESS,198,320,73
24Q600,QUEENS VHS,27,27,20
24Q610,AVIATION CAREER & TECHNICAL H.S.,130,140,61
25Q285,World Journalism Preparatory: A College Board Scho,65,87,18
25Q425,JOHN BOWNE HS,176,229,116
25Q460,FLUSHING HS,324,424,136
25Q525,TOWNSEND HARRIS HS,613,796,625
25Q670,R F KENNEDY COLLABORATIVE H S,77,112,43
26Q415,BENJAMIN N. CARDOZO,676,1145,796
26Q430,FRANCIS LEWIS HS,697,1033,583
26Q435,MARTIN VAN BUREN HS,71,101,15
26Q495,BAYSIDE HS,480,686,413
26Q566,"Queens High School of Teaching, Liberal Arts and t",,,
27Q262,Channel View School for Research,43,69,18
27Q323,Scholars' Academy,55,121,57
27Q400,AUGUST MARTIN HS,19,28,
27Q475,RICHMOND HILL HS,142,170,55
27Q480,JOHN ADAMS HS,140,168,33
27Q650,"High School for Construction Trades, Engineering a",91,109,21
28Q440,FOREST HILLS HS,733,1116,526
28Q470,JAMAICA HS,64,76,8
28Q505,HILLCREST HS,241,362,50
28Q620,THOS A EDISON VHS,183,244,100
28Q680,GATEWAY TO HEALTH SCIENCES,89,136,57
28Q687,Queens HS for Science York Colllege,215,338,275
28Q690,High School for Law Enforcement and Public Safety,19,19,
28Q896,"Young  Women's Leadership School, Queens",6,6,
29Q248,Queens Preparatory Academy,15,15,
29Q259,Pathways College Preparatory School: A College Boa,29,71,
29Q272,George Washington Carver High School for the Scien,14,21,
29Q283,Preparatory Academy for Writers,40,43,
29Q420,SPRINGFIELD GARDENS HS,,,
29Q492,MATH/SCIENCE RESEARCH TECH CTR,22,31,8
29Q496,BUSINESS/COMPUTER APPLICATIONS,,,
30Q445,WM CULLEN BRYANT HS,243,330,97
30Q450,LONG ISLAND CITY HS,406,805,169
30Q501,FRANK SINATRA HIGH SCHOOL,108,136,38
30Q502,INFORMATION TECHNOLOGY HS,51,74,13
30Q555,NEWCOMERS HS:ACAD AMER STD,119,163,140
30Q575,ACADEMY OF AMER. STUDIES HS,101,170,119
31R080,PS 080 MICHAEL J. PETRIDES,162,243,66
31R440,NEW DORP HS,96,118,62
31R445,PORT RICHMOND HS,194,304,76
31R450,CURTIS HS,247,295,90
31R455,TOTTENVILLE HS,396,687,206
31R460,SUSAN E. WAGNER HS,279,408,175
31R600,RAPLH MCKEE VHS,,,
31R605,STATEN ISLAND TECHNICAL HS,528,905,809
32K545,EBC-HS FOR PUB SERVICE (BUSH),47,64,13
32K552,Academy of Urban Planning,76,100,10
32K554,All City Leadership Secondary School,7,8,
32K556,Bushwick Leaders High School for Academic Excellen,34,35,18
