dbn,school_name,borough,building_code,phone_number,fax_number,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,bus,subway,primary_address_line_1,city,state_code,postcode,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,online_ap_courses,online_language_courses,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10,Location 1,Community Board,Council District,Census Tract,BIN,BBL,NTA
14K488,Brooklyn Preparatory High School,Brooklyn,K650,718-486-2550,718-486-2505,9,12,,,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59","G to Metropolitan Ave-Lorimer St ; J, M, Z to Marcy Ave ; L to Bedford Ave",257 North 6 Street,Brooklyn,NY,11211,www.brooklynprephs.org,489,Harry Van Arsdale Educational Campus,,"We are a small, college preparatory learning environment where academic rigor is accompanied by academic and affective support. Our mission is to ensure that all students develop the knowledge, skills and Habits of Mind and Work to succeed in a challenging college program and a rewarding career. Our math and science classes focus on real-world themes and problems that expand students’ understanding of the world around them; the English and social studies curriculum emphasizes articulating complex ideas and arguments in writing and speaking. Our arts program integrates traditional art practices with technology while connecting students to the artistic community in Williamsburg.","Intensive college and career planning beginning in the 9th grade, including partnerships with external organizations; small-group Advisories, College Now; each semester offers over a dozen electives such as Psychology, Drama, Creative Writing, Web Design, 3-D Art, Guitar, Robotics and SAT Prep","French, Spanish","Calculus AB, Chemistry, English Language and Composition, European History, Spanish Language and Culture, United States History",,,"Cheerleading, Chess, College Exploration, Craft Club, Dance performances, Film/Documentary Club, Full-length dramatic production, Genealogy Club, High School Heroes, Job Shadowing, Leadership Class, Music performances, Newspaper, Numerous art clubs with installations and presentations, Peer Mediation, Peer Tutoring, Puzzle, Step Team, Student Government, Travel, Yearbook","Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball","Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",Double Dutch,Intramural Sports Tournaments,Camelot,,"The City University of New York, New York University, Columbia University, Spelman University, University of Bridgeport, Johnson and Wales University, Penn State, Rutgers University, Syracuse University, University of Delaware.","International Studio and Curatorial Program, Reel Works, ENACT, Girls Write Now, International Center for Photography, Joan Mitchell Foundation, New York Public Library, Brooklyn Academy of Music.","The Institute for Student Achievement, PENCIL Partnerships, Minds Matter, Junior Achievement, Futures and Options, New York Cares, Steve's Camp at Horizon Farms, The Leadership Program.","Digitas, AT&T, AT Kearney, Disney",,"Student Press Initiative, National Center for Restructing Education, Schools & Teaching (NCREST)","Extended Day Program, Our school requires an Academic Portfolio for graduation, Community Service, Internships, Career and College Exploration",,8:20 AM,3:10 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,Then to New York City residents,,,,,,,"257 North 6 Street
Brooklyn, NY 11211
(40.715037551, -73.954649959)",1,33,519,3062135,3023300011,North Side-South Side                                                      
03M494,High School of Arts and Technology,Manhattan,M490,212-501-1198,917-441-3693,9,12,,,"M10, M104, M11, M20, M31, M5, M57, M66, M7, M72","1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle",122 Amsterdam Avenue,New York,NY,10023,http://schools.nyc.gov/schoolportals/03/M494,588,"Martin Luther King, Jr. Educational Campus",,"Our mission is to provide students with the academic, interpersonal and technological skills needed to achieve excellence in their chosen careers. We prepare all our students in a caring and nurturing environment and provide opportunities for students to work creatively in the fields of art and technology.","Online Courses (foreign languages, creative writing, web design, to name a few) via iLearn school connection, Advancement via Individual Determination (AVID), College Now, Educational Talent Search (pre-college), Virtual Enterprise (VE), Advisory, Theater Arts; Arts and Technology Courses: Fine Arts, Painting, Graphic Technology",Spanish,"Art History, Biology, Psychology, Studio Art: Drawing, United States History",,English,"=A 'Battle of the Grades' (schoolwide sports, activities and competitions), Anime, Annual overnight school trip for sophomores; Cartooning, Chess, Choir, Computer, Dance, Drama, Fashion Club and fashion shows, Filmmaking, Graphic Arts, Guitar, Karaoke, Ji","Baseball, Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball, Wrestling","Baseball, Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball, Wrestling",,Intramural Sports,"City Kids, Peer Health Exchange, Young Men's Christian Association (YMCA) @ 63rd Street, New York City Opera",St. Luke's-Roosevelt Hospital Center (Health Clinic),"John Jay College, Hunter College, New York University (NYU), Fordham University, Smith College","New York City Opera, Roundabout Theatre Company, Fidelty Theatre Program, Guggenheim Museum, Museum of Modern Art (MoMA), Lar Lubovitch Dance Company",,,,,Uniform Required: school shirt or sweatshirt embroidered with school logo,"Extended Day Program, Student Summer Orientation, Weekend Program offered",8:00 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,2,Open to New York City residents,,,,,,,,,,"122 Amsterdam Avenue
New York, NY 10023
(40.774296411, -73.984822701)",7,6,151,1030343,1011570025,Lincoln Square                                                             
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,212-928-1202,212-928-1309,9,12,,,"Bx6, Bx7, M100, M101, M2, M3, M4, M5","1, A, C to 168th St - Washington Hts",501 West 165Th,New York,NY,10032,http://schools.nyc.gov/schoolportals/06/M552,491,N/A,,Our goal is to prepare newly arrived immigrant Latino students to achieve high standards of scholarship and equip them with the necessary skills to be successful in their college and professional careers. We provide a curriculum that enables students to explore the fields of Science and Mathematics in-depth and will lead them to pursue careers in the Medical Sciences and Engineering.,"Students attend The City College of CUNY for College Now; Pre- Calculus, Calculus; Robotics, Computer Science and Advanced Placement courses for students interested in Engineering and the medical field; Students with Interrupted Formal Education (SIFE) are encouraged to follow a six-day program inclusive of tutoring and mentoring",Spanish,"Biology, Calculus AB, Chemistry, Computer Science A, Music Theory, Physics B, Spanish Language and Culture, Spanish Literature and Culture, United States Government and Politics",United States Government and Politics,,"Chorus, Dance, Drama, Hiking, History Through Movies, Science, Technology, Yearbook, Student Government Organization, Senior and Junior Councils; Travel Abroad program: the Amsterdam Exchange Program; Students have the opportunity to travel to the Czech Republic, Spain and Chile, among other destinations","Basketball, Volleyball","Basketball, Volleyball",,,"Children’s Aid Society, Leadership Program, Working Playground, Alianza Dominicana, Las Tablas Theater, Centro de Desarrollo de la Mujer Dominicana, Deportistas Dominicanos, Inc.",,"The City College, Lehman College, Bronx Community College.",Lincoln Center for the Performing Arts and Las Tablas Theater.,,,,,"Uniform Required: white shirt/blouse, navy blue  pants/skirt, black shoes, Saturday Academy/After-school Tutoring Program for  Regents exams preparation, Students with Interrupted Formal Education (SIFE)  Extended Day Program",,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL; Transitional Bilingual Program: Spanish,Functionally Accessible,1,Open only to New York City residents who have lived in the United States two years or fewer and whose home language is Spanish,Priority to Manhattan students or residents who have lived in the United States two years or fewer and whose home language is Spanish,Then to Bronx students or residents who have lived in the United States two years or fewer and whose home language is Spanish,Then to New York City residents who have lived in the United States two years or fewer and whose home language is Spanish,,,,,,,"501 West 165Th
New York, NY 10032
(40.838032322, -73.938371018)",,,,,,
27Q308,Robert H. Goddard High School of Communication Arts and Technology,Queens,Q202,718-848-8357,718-848-8579,9,12,,,"Q11, Q41, Q7",N/A,138-30 Lafayette Street,Ozone Park,NY,11417,www.goddardhs308.org,598,N/A,,"Our high school provides students with a challenging and enriching academic program that will prepare them for college. Given the size of our school community, the faculty and staff have the opportunity to work collaboratively with students. Our emphasis on the mastery of reading, writing and critical thinking prepares students to be successful in achieving their future goals. Classrooms are equipped with a variety of dynamic technology to fully immerse and engage students in the content they are studying. Our digital television studio allows students to generate TV programs, interviews and panel discussions that relate to our school and community.","Art Portfolio, Journalism, Studio Art, Forensics, Drama, Marine Biology, Greek Mythology, History & Film, Dance, World Languages, Yearbook, Music Theory, Kaplan SAT Prep, iZone Online Classes",Spanish,"Chemistry, English Literature and Composition, Environmental Science, Psychology, Spanish Language and Culture, United States History, World History","English Literature and Composition, Environmental Science, Psychology, World History",Spanish,"Arista/National Honor Society, New York Academy of Medicine, Art, Cheerleading, iSQUAD, Journalism, Latin American Student Organization, Soccer, Baseball, Student Government, TV Production, Yearbook, Volleyball, Drama, Creative Writing",Softball,Softball,,"As we expand, we plan to offer additional PSAL Sports such as Boys and Girls Soccer, Volleyball, and Baseball.",,,Queens College,Lincoln Center Institute,"Rachel Cooper Foundation, Doctors Without Borders",Classlink,,"Lincoln Center Institute, iZone, Datacation, Kaplan, Castle Learning, National Training Network","Community Service offered, Student and Parent Summer Orientation",,7:25 AM,2:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"138 30 Lafayette Street Ozone Park
NY 11417
(40.671769478001, -73.844977739)",10,32,58,4245993,4114030001,Ozone Park                                                                 
02M439,Manhattan Village Academy,Manhattan,M873,212-242-8752,212-242-7630,9,12,,,"M101, M102, M14A, M14D, M2, M20, M23, M4, M5, M7","1, 6, C, E, F, M, N, R to 23rd St ; 2, 3, L to 14th St - 6th Ave ; 4, 5, Q to 14th St-Union Square ; A to 14th St-8th Ave ; B, D to 34th St-Herald Square",43 West 22 Street,New York,NY,10010,http://schools.nyc.gov/schoolportals/02/M439,414,N/A,,"Our mission is to prepare our students to have access to the best colleges, universities and careers in the country through a disciplined education in the liberal arts, math and sciences. All incoming ninth graders and tenth grade transfer students are expected to attend the Enrichment Bridge Program.","Five performance-based Portfolio Assessments, 4 years of lab-based science, Honors classes, 4-year College Guidance Plan, New York University (NYU) Preview, College Now, Opportunity Network, Sponsors for Educational Opportunity (SEO), Let's Get Ready, SAT Preparation, Saturday Academy, PM School, College Trips for 10th and 11th graders, College-level Globalization course, Instrumental Music, 9 Regents Exams required for graduation","Latin, Spanish","Biology, Calculus AB, English Literature and Composition, Psychology, United States History",,,"Art, Book, Chess, Conflict Resolution and Mediation, Creative Writing and Journalism, Delta Club, Instrumental Music, Manhattan Village Academy (MVA) Spirit Week, Mole Day, Music Composition, Pi Day, Science Fair, Student Council, Tour Guide",,,,,"Community Association of Progressive Dominicans, Hudson Guild, Jewish Board of Family and Children's Services",,"New York University, Bard College, John Jay College, Hunter College",School Theatre Ticket Program,"Tomorrow's Business Leaders, Jewish Board for Family and Children’s Services",,,,"Uniform Required: solid oxford white shirt/blouse or polo shirt with school logo; solid gray dress pants/slacks/skirt; navy blue long-sleeved sweater/school hoodie; solid black leather shoes; boys wear plain black leather belt, girls wear solid white, navy blue or black stockings; Uniform must be purchased from Flynn & O'Hara School Uniforms, Summer Bridge Program for all incoming students: 4 weeks in July","Extended Day Program, Weekend Program offered",8:00 AM,3:20 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Open to New York City residents,,,,,,,,,,"43 West 22 Street
New York, NY 10010
(40.741494699001, -73.991445053)",5,3,58,1080668,1008240015,Hudson Yards-Chelsea-Flatiron-Union Square                                 
31R460,Susan E. Wagner High School,Staten Island,R460,718-698-4200,718-698-5213,9,12,,,"S54, S57, S61",N/A,1200 Manor Road,Staten Island,NY,10314,www.wagnerhigh.net,3461,N/A,,"Susan E. Wagner High School offers students 15 unique courses of study called ‘learning centers’. Each learning center has an assigned coordinator, guidance counselor and assistant principal, all working together to provide a nurturing environment and academic support services. In addition to our academic programs, our wide range of extracurricular and cocurricular activities help to develop well-rounded, socially conscious and respectful citizens who are prepared to enter college and/or the work force.","Scholars Academy, Law & Politics Institute, Academy of Finance, Air Force Junior Reserve Officers Training Corps (AFJROTC), Entrepreneurs Academy, Performing Arts (Music), Institute for Theatrical Arts, Visual Arts Academy, Media Arts, Sports Management, Leadership Academy, Academy of the Sciences, Academy of Language and Culture, Exploration Academy, Vocational Preparatory, CSI, Kingsborough, St. John’s University, College Now","French, Italian, Latin, Spanish","Biology, Calculus AB, English Language and Composition, English Literature and Composition, French Language and Culture, Human Geography, Spanish Language and Culture, Statistics, United States Government and Politics, United States History, World History",,,"Clubs: African Culture, Albanian, Anime, Art, Asian Dance, Astronomy, Belly Dance, Bengali, Celtic Society, Christian, Creative Writing, Egyptian, Explorers, French, Future Engineers of America, Gay-Straight Alliance, Girl Up, Horticultural, Indian Dance, Italian, IUVO, Jewish, Karaoke, Key Club, Korean Fan and Pop, Latino, Loving Bones, Mural, Muslim, Polish, Rotary, Russia, Show Choir, Soca, Spanish, Sri Lankan, Step Team and Twirlers; Activities: Debate Team, Drama Performances, Federal Reserve Challenge, Financial Literacy Certification, Holiday and Spring Concerts and Art Shows, International Festival, International Trips, Library Media Center, Marching Band Parades, Math Team, Mock Trial, National Honor Society, Paid Internships, Shakespeare Monologue Contest, SING, Spring Musical, Stock Market Challenge, Student Government, Student Newspaper, Yearbook","Basketball & JV Basketball, Bowling, Cross Country, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball","Basketball & JV Basketball, Bowling, Cross Country, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball & JV Volleyball",,"Cheerleading, Dance Company, Steppers, Twirlers","Institute for Basic Research, Liberty Partnerships","Seaview Hospital, St. Vincent’s Hospital, Eger Nursing Home, Staten Island University Hospital","College of Staten Island, St. John’s University, Kingsborough Community College, Baruch College, Wagner College","Snug Harbor Cultural Center & Botanical Garden, Staten Island Children’s Museum, Museum of Modern Art (MoMA), Theatre Development Fund, The Metropolitan Opera, Exploring the Arts: (The Tony Bennet Foundation)",Staten Island Cable,"JC Penney, TJ Maxx, National Academy Foundation, Virtual Enterprise International","New York Stock Exchange, New York Federal Reserve Bank, American Management Association, WISE Financial","United States Air Force, Offfce of the Richmond County District Attorney, Justice Resource Center, UAU-ISY - Summer Youth Employment","Extended Day Program, Required Senior Class College/Career Readiness Project, Internship Opportunities, State-of-the-art Technology, Learning Center Community Service Requirement, Tutoring Opportunities",,8:16 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,8,Priority to Staten Island students or residents,Then to New York City residents,For Zoned program only: priority to students who live in the zoned area,,,,,,,,"1200 Manor Road Staten Island
NY 10314
(40.598652386, -74.123104759)",2,50,181,5146639,5009550100,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
29Q327,Eagle Academy for Young Men III,Queens,Q633,718-480-2600,718-480-2610,6,11,6,12,"Q111, Q4, Q42, Q5",N/A,171-10 Linden Boulevard,Jamaica,NY,11434,www.eagleacademy3.org,345,N/A,All-Boys School,"Eagle Academy III is an all-male college preparatory school (grades 6-12) that educates and develops young men into future leaders. This is done through strategic partnerships between our scholars, administrators, teachers, parents, mentors, and community supporters. Through Eagle’s mission to cultivate integrity, students use team-building and community service while working in a nurturing and academically rigorous environment. Thus, these young men will exhibit our core values of academic excellence, leadership and character, supported by the following initiatives: Mentoring, Saturday Institute, Summer Programs, Community Service, Parental Engagement and Extended Learning Opportunities.","Saturday Academy, Chess, Debate, Drumline, Homework Assistance, Academic Intervention Service (AIS), Robotics, Guitar, Violin",,,,,"Chess, Debate, Drumline, Guitar, Homework Assistance, Robotics, Violin",,,,"Intramural Basketball, Flag Football",,,,,,,,,"Dress Code Required: Monday – Thursday: light blue oxford short or long-sleeved shirt, blue and yellow tie, cardigan blue sweater, gray slacks, black belt, black footwear; Friday: navy blue polo shirt, khaki pants, black belt, black footwear, Community Service Requirement, Extended Day Program, Friday schedule: 8:30 AM – 3:15 PM, Weekend Program",,8:45 AM,4:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Open only to male students,Priority to continuing 8th graders,Then to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,"171 10 Linden Boulevard
Jamaica, NY 11434
(40.691670189, -73.779028606)",12,27,432,4268543,4123930001,St. Albans                                                                 
19K404,Academy for Young Writers,Brooklyn,K422,718-688-7230,718-688-7236,6,12,,,"B100, B13, B20, B3, B41, B47, B6, B83, B84, Q8",N/A,1065 Elton Street,Brooklyn,NY,11208,www.academyforyoungwriters.org,502,Spring Creek Educational Campus,,"We are a small learning community with the belief that excellent teaching, close relationships and high expectations lead students to college and careers. We are dedicated to creating a calm, respectful learning environment for students and their families. We work closely with families to ensure that all students learn to be positive members of our school community. Classes are student-centered and project-based, with a heavy focus on building skills in the following areas of communication: writing, presentation and self-expression through the arts. Participation in an Advisory program allows students to develop close relationships with peers and teachers, undergo personal growth, and embark on college trips starting in the ninth grade. We seek parents and students who are interested in belonging to and shaping a close-knit school community.","Advisory with Community Service Trips, Writing in each class, Partnership with Urban Word NYC (students write and publish a book yearly), Creative Writing, Journalism, Art Electives, Senior Internships, College Now, Partnership with East Brooklyn Congregations, Exhibition-based Academic program (grades primarily based on student exhibitions/projects)",Spanish,"English Language and Composition, English Literature and Composition",,,"Board Games, Dance and Step Team, Digital Photography, Homework Center, Literary Journal, Peer Tutoring, Poetry Seminars, Poets' Cafe, Senior Buddy Program, Theatre, Writers' Posse, Yearbook Committee",,,,"Intramural Sports: Basketball, Flag Football, Cheerleading","Teens PACT, Community Healthcare Network, Urban Word NYC, East Brooklyn Congregations",,"New York City College of Technology, Columbia University",Urban Word Poetry,"CollegeBound Initiative, Institute for Student Achievement, Exploring Program",,,Edline,"Extended Day Program, Our school requires an Academic Portfolio for promotion, Career and College Exploration, Community Service required, Counseling and social support services, Parent Conferences two times a year, Summer Bridge Orientation Program",,9:05 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"1065 Elton Street
Brooklyn, NY 11208
(40.657522602, -73.874777025)",5,42,1070,3413878,3044490001,East New York                                                              
11X513,New World High School,Bronx,X362,718-696-3800,718-696-3801,9,12,,,"Bx31, Bx39, Bx8","2, 5 to 225th St",921 East 228Th Street,Bronx,NY,10466,http://schools.nyc.gov/schoolportals/11/X513,401,N/A,,"New World High School is centered around the language acquisition needs of all students in all subjects. Our school engages all students in acquiring and developing the skills necessary for success by infusing English as a Second Language (ESL) into all content areas of instruction. Technology is also integrated throughout the curriculum to develop and reinforce concepts and skills. Our classes are small and our academic program is challenging, with the expectation that students have a successful, timely transition out of the ESL program and graduate in four years. Students share their native cultures and languages and learn to become active citizens in their new country as they adapt to and flourish in American culture and in their use of the English language. Our staff works closely with students to ensure progress throughout the high school years and as they continue their education and/or join the world of work.","Advisory, Student Support Services, Career Interest and Self Assessment, College visits, SAT and Regents Preparation, Trips, Cultural Events, Internet After-school, Arts and Music Enrichment, Journalism; Opportunities to take college courses while in high school, Online courses, Academic competitions in Mathematics and Social Studies; Trips to cultural, historic and recreational sites in and out of New York City","French, Spanish, Spanish Native Language Arts","Calculus AB, French Language and Culture, Spanish Language and Culture","French Language and Culture, Spanish Language and Culture","French, Spanish","Art, Choral, Drama, Community Service, Computer/Technology, Dance, Electronic Publishing, Instrumental and Jazz Bands, Mock Trial, Music, Student Government, Tutoring, Yearbook, Government, Newsletter, Performances, Trips, Professional Field Connections, On-Line Exploration","Basketball, Outdoor Track, Softball, Volleyball","Basketball, Outdoor Track, Softball, Volleyball",,"Basketball, Lacrosse, Rugby, Soccer, Table Tennis, Volleyball, Weight Training, Yoga","Bold Eagle Association, PENCIL, Bronx Institute (Lehman College), Communities in Schools, New York Cares, Morris Heights Health Center New York Blood Center, Youth Philanthropic Initiative(YPI), Lehman College, Fordham University",Morris Heights Health Center,"Fordham University, Hunter College, Lehman College, Hostos Community College, Teachers College/Columbia University, University of Vermont",,,,,,"Dress Code Required: baby blue shirt/blouse, gray dress pants/skirt, navy blue sweater, black shoes, Extra classes are required based on academic needs, Focus on learning English",,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,"Open only to New York City residents who have lived in the United States three years or fewer and are English Language Learners as per New York City Department of Education guidelines, who score beginner or intermediate on the NYSESLAT or LAB-R.",,,,,,,,,,"921 East 228Th Street
Bronx, NY 10466
(40.887919214, -73.852871614)",12,12,404,2064589,2048640035,Williamsbridge-Olinville                                                   
20K490,Fort Hamilton High School,Brooklyn,K490,718-748-1537,718-836-3955,9,12,,,"B16, B4, B70",N/A,8301 Shore Road,Brooklyn,NY,11209,http://schools.nyc.gov/schoolportals/20/K490,4317,N/A,,"Fort Hamilton High School, located in Bay Ridge, Brooklyn, is the largest comprehensive urban high school in a suburban setting and is referred to as the “jewel in the crown” of the Bay Ridge community. Based on the philosophy that all students can succeed, Fort Hamilton High School strives to set the standard for excellence and is a magnet program citywide for the performing arts. The school facility has experienced a renaissance: a brand new science lab modernization and state-of-the-art dance room, recital room and black box theatre. The school is replete with state-of-the-art technology including SMART Boards in every classroom, Airliners, Mobile Labs and iPad Labs.","Army Junior Reserve Officers' Training Corps (JROTC), College Now, VA Hospital Progam, Dramatic Arts, Honors Academy, Law Institute, Joffrey Ballet Dance Academy, Peer Mediation & Negotiation, Virtual Enterprise; Medical Science: Anatomy & Physiology, Astronomy, Astrobiology, Biological Medical Techniques and BioPsychology; Geology, Investigative Pathology/Forensics, Marine Science; Performing Arts: Brass/Woodwind/Percussion Training, Choral Training, Concert Band, Concert Chorus, Guitar, Jazz Band, Intermediate Band, Marching Band, Mixed Chorus, String Orchestra, Symphonic Band/Symphonic Orchestra","Arabic, Chinese, Classical Greek, French, Italian, Spanish","Art History, Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, English Language and Composition, English Literature and Composition, Environmental Science, Physics B, Psychology, Spanish Language and Culture, Studio Art: 2-D Design, Studio Art: Drawing, United States Government and Politics, United States History, World History",,," School Newspaper, Chamber Music, Guitar Ensemble, School Yearbook, Theatrical Productions, Joffrey Ballet; Clubs: Anime, Asian, Cheerleading, Chess, Hellenic, Italian, Key, Make A Difference, Medical Science, Muslim Student Alliance, Reach Out, Robotics, Step Team, Tech Squad","Basketball & JV Basketball, Bowling, Cross Country, Football, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball","Basketball & JV Basketball, Bowling, Cross Country, Football, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball",,,"Center for Family Life, Family Support Center, Jewish Board of Family and Children's Services, National Chorale","Lutheran Medical Center, Maimonides Medical Center, Veterans Administration (VA) Hospital","Brooklyn College, Aaron Copland School of Music at Queens College, College of Staten Island, Fashion Institute of Technology, Fordham University, Hunter College, Kingsborough Community College, St. John's University, Long Island University","InterSchool Orchestras of New York (ISO), American Composers Orchestra (ACO), Brooklyn College Conservatory of Music, The Metropolitan Museum of Art, Museum of Modern Art (MoMA), American Museum of National History, Fashion Institute of Technology (FIT), The Academy (partnership with Carnegie Hall and the Juillard School)",National Academy Foundation,Tanaseybert Printing Company,"American Insurance Group (AIG), Bear Stearns, Bank of New York, CitiGroup, Deutsche Bank, Ernst & Young, Federal Reserve Bank of New York, Fitch Rating, HSBC, JP Morgan Chase, KPMG International, Marsh, Moody's, Neuberger Berman, Office of Comptroller of the Currency (OCC), Shearman & Sterling LLP, Securities Industries Association (SIA), Simpson Thacher & Bartlett LLP, Smith Barney, Teachers Insurance Annuity Association and College Retirement Equities Fund (TIAA CREF), Deloitte & Touche",,"Saturday Academy, Freshman Summer Orientation, Chancellor's Arts Endorsed Diploma, Extended Day Program",,9:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL; Transitional Bilingual Program: Arabic, Chinese, Spanish",Functionally Accessible,5,Priority to Brooklyn students or residents,Then to New York City residents,For Zoned Program only: priority to students who live in the zoned area,,,,,,,,"8301 Shore Road
Brooklyn, NY 11209
(40.627913373, -74.039952338)",10,43,46,3152318,3060130001,Bay Ridge                                                                  
06M468,High School for Health Careers and Sciences,Manhattan,M465,212-927-1841,212-927-2179,9,12,,,"Bx18, Bx40, Bx42, Bx7, M101, M3, M98",1 to 191st St ; A to 190th St,549 Audubon Avenue,New York,NY,10040,http://schools.nyc.gov/schoolportals/06/M468,624,George Washington Educational Campus,,"We foster a sense of community in a small learning environment, helping students to develop self-esteem and respect for others. Through a diverse and challenging academic curriculum that focuses on the basic sciences and related experiences, we support our students academically and personally to develop their interests in various sciences and health professions.","Honors Classes: Earth Science, English, Chemistry, Global History, United States History, Mathematics; Precalculus; Advisory; Advanced Placement Courses, College Now, Student Retreats, Community Service, Health-related internships at New York-Presbyterian Hospital",Spanish,"Calculus AB, English Literature and Composition, Spanish Language and Culture, Spanish Literature and Culture",,,"After-school Tutoring, Chat and Step, Drama, Repertorio Espanol, Game, Health/Fitness, Horticulture, Naval Junior Reserve Officers Training Corps (NJROTC), Moody's Math Challenge, National Honor Society (Arista), NJROTC Drill Team, Peer Tutoring, Recycling, Saturday Instrumental Music Classes, Saturday Regents Review, Stock Market Game, Symphony Space, Talent, Tennis, World Cultures","Basketball, Soccer, Softball, Volleyball","Basketball, Soccer, Softball, Volleyball",,"Aerobics, Cardio-Fitness, Competitive Cycling, Dance, Fencing, Swimming, Weight Training, Yoga","Alianza Dominicana, Children's Arts and Sciences Workshop.","New York-Presbyterian Hospital, Isabella Geriatric Center","City University of New York, Columbia University, Touro Medical College, Touro College of Pharmacy, Touro College of Health Sciences, Lehman College, New York-Presbyterian Medical College","Family Life Theatre, Symphony Space, American Museum of Natural History","Health Corps, The College Board",,,"Inwood Hill Park, The Bronx Zoological Society","Dress Code Required: long or short-sleeved shirt/blouse, pants (belted), shorts/skirt (no more than three inches above the knee)","Student Summer Orientation, Weekend Program offered",8:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL; Transitional Bilingual Program: Spanish,Functionally Accessible,1,Priority to District 6 students or residents,Then to Manhattan students or residents,Then to New York City residents,,,,,,,,"549 Audubon Avenue
New York, NY 10040
(40.855938307, -73.927029634)",12,10,277,1076751,1021600018,Washington Heights North                                                   
